Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
HR;633.0;86.85;22.41;21.5;21.5;2016/01/04;2016/01/10;2016;1
HC;15.0;92.7;19.55;14.6;23.5;2016/01/04;2016/01/10;2016;1
HU;14.0;137.74;11.25;9.4;22.5;2016/01/04;2016/01/10;2016;1
HS;1.0;85.0;22.5;22.5;22.5;2016/01/04;2016/01/10;2016;1
CO;5.0;60.74;23.05;23.0;23.25;2016/01/04;2016/01/10;2016;1
CR;227.0;58.67;22.8;10.0;23.5;2016/01/04;2016/01/10;2016;1
BP;7771.0;70.45;26.9;22.3;31.38;2017/01/02;2017/01/08;2017;1
BO;2186.0;74.09;27.14;22.3;31.84;2017/01/02;2017/01/08;2017;1
BR;200.0;76.48;25.79;23.0;28.5;2017/01/02;2017/01/08;2017;1
BC;19.0;76.13;23.08;19.7;26.5;2017/01/02;2017/01/08;2017;1
BU;4.0;71.07;20.26;17.72;25.5;2017/01/02;2017/01/08;2017;1
BS;5.0;71.56;22.94;18.0;26.5;2017/01/02;2017/01/08;2017;1
PP;2350.0;51.56;29.14;27.23;32.47;2017/01/02;2017/01/08;2017;1
PO;146.0;51.28;30.0;27.36;32.5;2017/01/02;2017/01/08;2017;1
PR;16.0;48.79;22.69;19.2;28.5;2017/01/02;2017/01/08;2017;1
PC;4.0;51.58;20.13;15.0;28.0;2017/01/02;2017/01/08;2017;1
PU;1.0;47.6;10.0;10.0;10.0;2017/01/02;2017/01/08;2017;1
PS;1.0;45.9;27.5;27.5;27.5;2017/01/02;2017/01/08;2017;1
SAS;74.0;132.2;17.81;8.0;21.0;2017/01/02;2017/01/08;2017;1
HP;2.0;560.0;85.62;25.91;22.3;2017/01/02;2017/01/08;2017;1
HO;2906.0;86.73;25.96;22.3;29.0;2017/01/02;2017/01/08;2017;1
HR;535.0;88.47;25.85;24.82;31.0;2017/01/02;2017/01/08;2017;1
HC;47.0;87.8;20.56;16.36;26.7;2017/01/02;2017/01/08;2017;1
