Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
BC;103.0;75.8;19.3;19.21;22.1;2016/07/25;2016/07/31;2016;7
PP;2310.0;51.3;24.69;20.35;26.0;2016/07/25;2016/07/31;2016;7
PO;118.0;48.49;24.51;22.0;26.0;2016/07/25;2016/07/31;2016;7
PR;22.0;48.3;23.75;22.0;26.0;2016/07/25;2016/07/31;2016;7
PC;2.0;50.4;24.5;24.5;24.5;2016/07/25;2016/07/31;2016;7
PS;2.0;36.6;23.0;23.0;23.0;2016/07/25;2016/07/31;2016;7
HP;4998.0;84.78;23.38;22.0;24.77;2016/07/25;2016/07/31;2016;7
HO;6109.0;86.34;23.56;22.0;24.55;2016/07/25;2016/07/31;2016;7
HR;1036.0;88.39;22.99;15.0;23.76;2016/07/25;2016/07/31;2016;7
HC;96.0;88.08;19.9;16.5;23.5;2016/07/25;2016/07/31;2016;7
HU;15.0;88.16;19.05;13.0;23.5;2016/07/25;2016/07/31;2016;7
HS;7.0;95.34;16.73;9.4;23.5;2016/07/25;2016/07/31;2016;7
CP;749.0;60.4;23.79;22.1;26.5;2016/07/25;2016/07/31;2016;7
CO;586.0;60.66;24.12;22.5;26.0;2016/07/25;2016/07/31;2016;7
CR;4.0;61.78;23.84;22.0;24.84;2016/07/25;2016/07/31;2016;7
CC;1.0;64.8;20.49;20.49;20.49;2016/07/25;2016/07/31;2016;7
CS;1.0;59.2;11.0;11.0;11.0;2016/07/25;2016/07/31;2016;7
SAB;300.0;107.75;12.94;6.0;20.0;2016/07/25;2016/07/31;2016;7
SAS;1055.0;142.31;15.79;12.0;20.0;2016/07/25;2016/07/31;2016;7
PP;895.0;4842.0;2804.0;2670.0;2825.0;2017/07/31;2017/08/06;2017;8
PO;61.0;5028.0;2790.0;2627.0;3001.0;2017/07/31;2017/08/06;2017;8
PR;12.0;4935.0;2673.0;2000.0;2976.0;2017/07/31;2017/08/06;2017;8
PC;6.0;5195.0;2219.0;1900.0;2885.0;2017/07/31;2017/08/06;2017;8
PU;3.0;5153.0;1964.0;1900.0;2000.0;2017/07/31;2017/08/06;2017;8
PS;6.0;18053.0;1715.0;1700.0;2000.0;2017/07/31;2017/08/06;2017;8
CP;2808.0;6204.0;2751.0;2600.0;2847.0;2017/07/31;2017/08/06;2017;8
CO;444.0;6281.0;2746.0;2600.0;2880.0;2017/07/31;2017/08/06;2017;8
CR;187.0;6028.0;2816.0;2700.0;2880.0;2017/07/31;2017/08/06;2017;8
CC;8.0;6506.0;2573.0;2280.0;2660.0;2017/07/31;2017/08/06;2017;8
CU;3.0;6103.0;2151.0;1900.0;2660.0;2017/07/31;2017/08/06;2017;8
CS;1.0;5730.0;2660.0;2660.0;2660.0;2017/07/31;2017/08/06;2017;8
BP;7570.0;7372.0;2736.0;2609.0;2885.0;2017/07/31;2017/08/06;2017;8
BO;2272.0;7537.0;2724.0;2607.0;2821.0;2017/07/31;2017/08/06;2017;8
BR;263.0;7728.0;2692.0;2492.0;2925.0;2017/07/31;2017/08/06;2017;8
BC;25.0;7489.0;2546.0;1804.0;2930.0;2017/07/31;2017/08/06;2017;8
BU;6.0;7445.0;2733.0;2660.0;2950.0;2017/07/31;2017/08/06;2017;8
BS;2.0;7360.0;2660.0;2660.0;2660.0;2017/07/31;2017/08/06;2017;8
HP;6544.0;8529.0;2579.0;2547.0;2638.0;2017/07/31;2017/08/06;2017;8
HO;8306.0;8698.0;2590.0;2550.0;2715.0;2017/07/31;2017/08/06;2017;8
HR;967.0;8929.0;2546.0;2470.0;2653.0;2017/07/31;2017/08/06;2017;8
HC;43.0;8876.0;2450.0;2067.0;2583.0;2017/07/31;2017/08/06;2017;8
HU;7.0;8804.0;2423.0;1300.0;2950.0;2017/07/31;2017/08/06;2017;8
HS;29.0;9831.0;2257.0;1800.0;2683.0;2017/07/31;2017/08/06;2017;8
SAU;1294.0;14576.0;1976.0;1812.0;2380.0;2017/07/31;2017/08/06;2017;8
SAB;452.0;10479.0;2244.0;1708.0;2436.0;2017/07/31;2017/08/06;2017;8
A2;9.0;379.0;27443.0;4645.0;4663.0;2017/07/31;2017/08/06;2017;8
A3;1.0;115.0;29352.0;4646.0;4675.0;2017/07/31;2017/08/06;2017;8
AB2;615.0;27770.0;4565.0;4589.0;4454.0;2017/07/31;2017/08/06;2017;8
AB3;125.0;28092.0;4560.0;4588.0;4492.0;2017/07/31;2017/08/06;2017;8
B2;488.0;27057.0;4265.0;4288.0;4097.0;2017/07/31;2017/08/06;2017;8
B3;114.0;30344.0;4217.0;4316.0;4157.0;2017/07/31;2017/08/06;2017;8
C2;1.0;558.0;27044.0;4065.0;4130.0;2017/07/31;2017/08/06;2017;8
C3;685.0;32478.0;4060.0;4179.0;3999.0;2017/07/31;2017/08/06;2017;8
A2;8913.0;27239.0;4529.0;4675.0;4595.0;2017/07/31;2017/08/06;2017;8
A3;914.0;29446.0;4554.0;4680.0;4585.0;2017/07/31;2017/08/06;2017;8
AB2;418.0;27738.0;4408.0;4536.0;4327.0;2017/07/31;2017/08/06;2017;8
AB3;93.0;30851.0;4470.0;4544.0;4407.0;2017/07/31;2017/08/06;2017;8
B2;358.0;25833.0;3886.0;4168.0;3944.0;2017/07/31;2017/08/06;2017;8
B3;88.0;28941.0;3895.0;4192.0;3980.0;2017/07/31;2017/08/06;2017;8
C2;1292.0;26598.0;3712.0;3917.0;3508.0;2017/07/31;2017/08/06;2017;8
C3;410.0;28892.0;3730.0;3959.0;3725.0;2017/07/31;2017/08/06;2017;8
PP;2064.0;5370.0;2672.0;2544.0;3029.0;2017/08/07;2017/08/13;2017;8
PO;128.0;5235.0;2642.0;2465.0;2878.0;2017/08/07;2017/08/13;2017;8
PR;30.0;5256.0;2408.0;2052.0;2750.0;2017/08/07;2017/08/13;2017;8
PC;7.0;5326.0;1995.0;1700.0;2450.0;2017/08/07;2017/08/13;2017;8
PS;7.0;15343.0;1688.0;1569.0;1700.0;2017/08/07;2017/08/13;2017;8
CP;1290.0;5993.0;2804.0;2628.0;2947.0;2017/08/07;2017/08/13;2017;8
CO;95.0;6310.0;2741.0;2608.0;2863.0;2017/08/07;2017/08/13;2017;8
CR;7.0;5991.0;2661.0;2500.0;2730.0;2017/08/07;2017/08/13;2017;8
CC;1.0;6700.0;2660.0;2660.0;2660.0;2017/08/07;2017/08/13;2017;8
CU;2.0;6180.0;1876.0;1700.0;2050.0;2017/08/07;2017/08/13;2017;8
BP;5622.0;7397.0;2670.0;2428.0;2869.0;2017/08/07;2017/08/13;2017;8
BO;1774.0;7653.0;2667.0;2536.0;2826.0;2017/08/07;2017/08/13;2017;8
BR;183.0;7797.0;2554.0;2379.0;2736.0;2017/08/07;2017/08/13;2017;8
BC;24.0;7337.0;2289.0;1839.0;2700.0;2017/08/07;2017/08/13;2017;8
BU;4.0;7357.0;2272.0;1900.0;2660.0;2017/08/07;2017/08/13;2017;8
BS;4.0;8798.0;2254.0;2000.0;2660.0;2017/08/07;2017/08/13;2017;8
HP;3711.0;8616.0;2589.0;2550.0;2651.0;2017/08/07;2017/08/13;2017;8
HO;5942.0;8761.0;2606.0;2550.0;2756.0;2017/08/07;2017/08/13;2017;8
HR;846.0;8946.0;2535.0;2470.0;2676.0;2017/08/07;2017/08/13;2017;8
HC;65.0;8958.0;2189.0;2033.0;2581.0;2017/08/07;2017/08/13;2017;8
HU;7.0;8925.0;2224.0;1977.0;2550.0;2017/08/07;2017/08/13;2017;8
HS;40.0;9900.0;2065.0;1774.0;2694.0;2017/08/07;2017/08/13;2017;8
SAU;505.0;14469.0;1936.0;1586.0;2368.0;2017/08/07;2017/08/13;2017;8
SAB;250.0;10745.0;2259.0;1812.0;2442.0;2017/08/07;2017/08/13;2017;8
A2;6.0;675.0;27934.0;4640.0;4645.0;2017/08/07;2017/08/13;2017;8
A3;1.0;12.0;29597.0;4643.0;4691.0;2017/08/07;2017/08/13;2017;8
AB2;379.0;28381.0;4436.0;4514.0;4417.0;2017/08/07;2017/08/13;2017;8
AB3;64.0;29242.0;4511.0;4555.0;4354.0;2017/08/07;2017/08/13;2017;8
B2;369.0;26810.0;4175.0;4280.0;4109.0;2017/08/07;2017/08/13;2017;8
B3;115.0;28040.0;4104.0;4350.0;4271.0;2017/08/07;2017/08/13;2017;8
C2;1.0;395.0;26717.0;4036.0;4159.0;2017/08/07;2017/08/13;2017;8
C3;572.0;28781.0;4024.0;4227.0;4050.0;2017/08/07;2017/08/13;2017;8
BP;6270.0;75.46;23.38;22.0;26.5;2016/08/08;2016/08/14;2016;8
BO;2429.0;78.49;23.35;22.0;25.0;2016/08/08;2016/08/14;2016;8
BR;201.0;79.91;22.62;21.2;25.0;2016/08/08;2016/08/14;2016;8
BC;17.0;78.16;20.5;19.81;22.5;2016/08/08;2016/08/14;2016;8
BU;5.0;76.7;22.92;20.2;24.0;2016/08/08;2016/08/14;2016;8
BS;2.0;85.8;22.32;22.1;22.5;2016/08/08;2016/08/14;2016;8
PP;1908.0;51.59;24.6;22.01;28.0;2016/08/08;2016/08/14;2016;8
PO;147.0;50.11;23.63;22.0;26.0;2016/08/08;2016/08/14;2016;8
PR;17.0;44.9;23.64;22.3;25.0;2016/08/08;2016/08/14;2016;8
PC;4.0;52.95;21.66;21.5;22.1;2016/08/08;2016/08/14;2016;8
PS;2.0;53.85;17.0;17.0;17.0;2016/08/08;2016/08/14;2016;8
SAB;563.0;105.46;12.46;10.0;16.5;2016/08/08;2016/08/14;2016;8
HP;3514.0;86.94;23.1;21.0;23.82;2016/08/08;2016/08/14;2016;8
HO;4786.0;88.03;23.05;21.0;24.0;2016/08/08;2016/08/14;2016;8
HR;901.0;89.75;22.43;15.0;23.5;2016/08/08;2016/08/14;2016;8
HC;70.0;92.11;20.27;17.62;23.5;2016/08/08;2016/08/14;2016;8
HU;8.0;90.21;19.25;18.27;21.0;2016/08/08;2016/08/14;2016;8
HS;5.0;94.6;21.85;14.18;23.5;2016/08/08;2016/08/14;2016;8
CP;1436.0;63.91;23.32;22.1;26.0;2016/08/08;2016/08/14;2016;8
CO;329.0;70.9;23.11;23.0;26.0;2016/08/08;2016/08/14;2016;8
CR;27.0;72.34;22.61;22.5;23.0;2016/08/08;2016/08/14;2016;8
CC;1.0;70.8;22.1;22.1;22.1;2016/08/08;2016/08/14;2016;8
CU;1.0;70.8;22.1;22.1;22.1;2016/08/08;2016/08/14;2016;8
SAS;931.0;137.45;15.97;14.27;17.3;2016/08/08;2016/08/14;2016;8
PP;2048.0;5354.0;2660.0;2539.0;2994.0;2017/08/14;2017/08/20;2017;8
PO;97.0;5088.0;2618.0;2494.0;3000.0;2017/08/14;2017/08/20;2017;8
PR;23.0;5246.0;2396.0;2060.0;2680.0;2017/08/14;2017/08/20;2017;8
PC;7.0;5574.0;2200.0;2000.0;2470.0;2017/08/14;2017/08/20;2017;8
PU;2.0;5640.0;2223.0;2100.0;2340.0;2017/08/14;2017/08/20;2017;8
PS;6.0;16185.0;1765.0;1750.0;2100.0;2017/08/14;2017/08/20;2017;8
CP;1143.0;6140.0;2785.0;2626.0;2955.0;2017/08/14;2017/08/20;2017;8
CO;135.0;6139.0;2753.0;2631.0;2862.0;2017/08/14;2017/08/20;2017;8
CR;5.0;6218.0;2698.0;2600.0;2730.0;2017/08/14;2017/08/20;2017;8
CC;4.0;6163.0;2249.0;1800.0;2660.0;2017/08/14;2017/08/20;2017;8
CS;2.0;6050.0;2100.0;2100.0;2100.0;2017/08/14;2017/08/20;2017;8
BP;6402.0;7381.0;2679.0;2446.0;2897.0;2017/08/14;2017/08/20;2017;8
BO;1842.0;7629.0;2679.0;2537.0;2815.0;2017/08/14;2017/08/20;2017;8
BR;161.0;7698.0;2554.0;2400.0;2736.0;2017/08/14;2017/08/20;2017;8
BC;24.0;7492.0;2339.0;2053.0;2892.0;2017/08/14;2017/08/20;2017;8
BU;2.0;7556.0;2000.0;2000.0;2000.0;2017/08/14;2017/08/20;2017;8
BS;4.0;8814.0;2064.0;1900.0;2200.0;2017/08/14;2017/08/20;2017;8
HP;4197.0;8610.0;2588.0;2533.0;2655.0;2017/08/14;2017/08/20;2017;8
HO;5612.0;8778.0;2615.0;2549.0;2777.0;2017/08/14;2017/08/20;2017;8
HR;980.0;9019.0;2541.0;2493.0;2676.0;2017/08/14;2017/08/20;2017;8
HC;74.0;9040.0;2159.0;2056.0;2470.0;2017/08/14;2017/08/20;2017;8
HU;13.0;8736.0;2049.0;1991.0;2264.0;2017/08/14;2017/08/20;2017;8
HS;12.0;9793.0;1834.0;1694.0;2100.0;2017/08/14;2017/08/20;2017;8
SAU;1083.0;13011.0;2068.0;1705.0;2391.0;2017/08/14;2017/08/20;2017;8
SAB;398.0;10534.0;2309.0;2035.0;2384.0;2017/08/14;2017/08/20;2017;8
BP;4475.0;74.67;23.4;22.0;26.5;2016/08/15;2016/08/21;2016;8
BO;1589.0;75.72;23.54;22.0;25.0;2016/08/15;2016/08/21;2016;8
BR;195.0;75.48;22.99;21.6;25.0;2016/08/15;2016/08/21;2016;8
BC;19.0;74.47;20.51;19.27;22.5;2016/08/15;2016/08/21;2016;8
BU;5.0;75.08;20.28;17.95;23.5;2016/08/15;2016/08/21;2016;8
PP;1446.0;53.92;24.86;21.5;26.0;2016/08/15;2016/08/21;2016;8
PO;65.0;54.04;24.67;23.0;26.0;2016/08/15;2016/08/21;2016;8
PR;9.0;49.63;23.4;21.43;24.5;2016/08/15;2016/08/21;2016;8
PC;3.0;53.73;24.19;24.0;24.5;2016/08/15;2016/08/21;2016;8
PU;2.0;44.9;22.0;22.0;22.0;2016/08/15;2016/08/21;2016;8
PS;4.0;14.9;18.0;18.0;18.0;2016/08/15;2016/08/21;2016;8
SAS;852.0;103.99;12.56;8.0;19.0;2016/08/15;2016/08/21;2016;8
HP;2321.0;86.35;23.7;23.0;23.84;2016/08/15;2016/08/21;2016;8
HO;3966.0;87.39;23.59;23.0;23.69;2016/08/15;2016/08/21;2016;8
HR;751.0;88.53;22.94;22.4;23.5;2016/08/15;2016/08/21;2016;8
HC;63.0;88.11;19.82;18.87;23.5;2016/08/15;2016/08/21;2016;8
HU;4.0;91.08;18.51;18.51;18.51;2016/08/15;2016/08/21;2016;8
HS;9.0;97.36;23.5;23.5;23.5;2016/08/15;2016/08/21;2016;8
CP;186.0;61.51;24.28;23.7;26.0;2016/08/15;2016/08/21;2016;8
CO;85.0;61.97;24.09;23.45;26.0;2016/08/15;2016/08/21;2016;8
CC;1.0;64.8;18.77;18.77;18.77;2016/08/15;2016/08/21;2016;8
SAS;326.0;152.22;14.64;14.27;17.0;2016/08/15;2016/08/21;2016;8
PP;2151.0;5336.0;2668.0;2544.0;2961.0;2017/08/21;2017/08/27;2017;8
PO;120.0;5352.0;2663.0;2458.0;2927.0;2017/08/21;2017/08/27;2017;8
PR;34.0;4973.0;2627.0;2232.0;2916.0;2017/08/21;2017/08/27;2017;8
PC;5.0;5232.0;2440.0;2000.0;2916.0;2017/08/21;2017/08/27;2017;8
PU;3.0;4567.0;2500.0;2500.0;2500.0;2017/08/21;2017/08/27;2017;8
PS;6.0;16210.0;1752.0;1750.0;1800.0;2017/08/21;2017/08/27;2017;8
CP;1101.0;6147.0;2813.0;2643.0;2942.0;2017/08/21;2017/08/27;2017;8
CO;103.0;6285.0;2829.0;2649.0;2955.0;2017/08/21;2017/08/27;2017;8
CR;4.0;6261.0;2708.0;2603.0;2830.0;2017/08/21;2017/08/27;2017;8
CC;1.0;6344.0;2147.0;2147.0;2147.0;2017/08/21;2017/08/27;2017;8
BP;5387.0;7456.0;2685.0;2433.0;2882.0;2017/08/21;2017/08/27;2017;8
BO;1741.0;7672.0;2689.0;2571.0;2850.0;2017/08/21;2017/08/27;2017;8
BR;150.0;7788.0;2567.0;2374.0;2732.0;2017/08/21;2017/08/27;2017;8
BC;23.0;7737.0;2426.0;2038.0;2950.0;2017/08/21;2017/08/27;2017;8
BU;6.0;77535.0;2229.0;1750.0;2500.0;2017/08/21;2017/08/27;2017;8
BS;3.0;8693.0;2346.0;2200.0;2760.0;2017/08/21;2017/08/27;2017;8
HP;3983.0;8630.0;2648.0;2622.0;2673.0;2017/08/21;2017/08/27;2017;8
HO;5635.0;8781.0;2668.0;2622.0;2784.0;2017/08/21;2017/08/27;2017;8
HR;926.0;9042.0;2557.0;2462.0;2762.0;2017/08/21;2017/08/27;2017;8
HC;83.0;9230.0;2138.0;2031.0;2435.0;2017/08/21;2017/08/27;2017;8
HU;9.0;8879.0;2040.0;2040.0;2040.0;2017/08/21;2017/08/27;2017;8
HS;39.0;10017.0;2145.0;1794.0;2658.0;2017/08/21;2017/08/27;2017;8
SAU;759.0;13612.0;2004.0;1645.0;2469.0;2017/08/21;2017/08/27;2017;8
SAB;259.0;10529.0;2253.0;1848.0;2496.0;2017/08/21;2017/08/27;2017;8
A2;7.0;996.0;27826.0;4612.0;4595.0;2017/08/21;2017/08/27;2017;8
A3;1.0;108.0;29474.0;4612.0;4604.0;2017/08/21;2017/08/27;2017;8
AB2;420.0;27491.0;4488.0;4585.0;4432.0;2017/08/21;2017/08/27;2017;8
AB3;87.0;29846.0;4497.0;4573.0;4484.0;2017/08/21;2017/08/27;2017;8
B2;560.0;27320.0;4179.0;4314.0;4199.0;2017/08/21;2017/08/27;2017;8
B3;110.0;30342.0;4126.0;4308.0;4192.0;2017/08/21;2017/08/27;2017;8
C2;1.0;874.0;26626.0;4015.0;4123.0;2017/08/21;2017/08/27;2017;8
C3;722.0;29481.0;4018.0;4207.0;4025.0;2017/08/21;2017/08/27;2017;8
BP;5635.0;74.87;23.56;22.0;25.5;2016/08/22;2016/08/28;2016;8
BO;2109.0;76.16;23.46;22.0;25.0;2016/08/22;2016/08/28;2016;8
BR;326.0;75.97;22.58;21.0;25.0;2016/08/22;2016/08/28;2016;8
BC;20.0;75.44;20.33;19.0;22.5;2016/08/22;2016/08/28;2016;8
BU;8.0;71.99;20.65;17.95;22.5;2016/08/22;2016/08/28;2016;8
BS;1.0;67.3;17.0;17.0;17.0;2016/08/22;2016/08/28;2016;8
PP;1882.0;53.18;24.53;19.5;26.0;2016/08/22;2016/08/28;2016;8
PO;85.0;51.41;24.29;19.5;26.0;2016/08/22;2016/08/28;2016;8
PR;16.0;50.22;23.51;22.0;26.0;2016/08/22;2016/08/28;2016;8
PC;2.0;53.2;24.5;24.5;24.5;2016/08/22;2016/08/28;2016;8
PU;3.0;61.5;24.0;24.0;24.0;2016/08/22;2016/08/28;2016;8
PS;2.0;32.25;23.0;23.0;23.0;2016/08/22;2016/08/28;2016;8
SAB;794.0;106.1;12.65;10.0;17.3;2016/08/22;2016/08/28;2016;8
HP;2299.0;88.99;22.3;21.0;32.8;2016/08/22;2016/08/28;2016;8
HO;3439.0;91.0;22.14;21.0;23.5;2016/08/22;2016/08/28;2016;8
HR;527.0;91.99;21.65;15.0;22.4;2016/08/22;2016/08/28;2016;8
HC;29.0;93.87;20.28;11.4;21.0;2016/08/22;2016/08/28;2016;8
HU;3.0;90.03;19.76;17.0;21.0;2016/08/22;2016/08/28;2016;8
CP;458.0;60.55;23.26;22.1;26.0;2016/08/22;2016/08/28;2016;8
CO;575.0;76.94;23.84;22.1;26.0;2016/08/22;2016/08/28;2016;8
CR;162.0;82.31;23.61;22.8;26.0;2016/08/22;2016/08/28;2016;8
CC;7.0;86.86;23.5;23.5;23.5;2016/08/22;2016/08/28;2016;8
CS;1.0;97.8;23.5;23.5;23.5;2016/08/22;2016/08/28;2016;8
SAS;580.0;153.85;15.05;12.0;17.3;2016/08/22;2016/08/28;2016;8
PP;1935.0;5354.0;2658.0;2536.0;2997.0;2017/08/28;2017/09/03;2017;9
PO;129.0;5212.0;2668.0;2484.0;2954.0;2017/08/28;2017/09/03;2017;9
PR;31.0;4540.0;2540.0;2167.0;2775.0;2017/08/28;2017/09/03;2017;9
PC;6.0;4759.0;2586.0;2000.0;2900.0;2017/08/28;2017/09/03;2017;9
PS;6.0;15573.0;1766.0;1750.0;2050.0;2017/08/28;2017/09/03;2017;9
CP;694.0;6068.0;2824.0;2666.0;2947.0;2017/08/28;2017/09/03;2017;9
CO;59.0;6120.0;2739.0;2652.0;2900.0;2017/08/28;2017/09/03;2017;9
CR;4.0;6133.0;2619.0;2600.0;2626.0;2017/08/28;2017/09/03;2017;9
CC;2.0;6309.0;2095.0;2050.0;2147.0;2017/08/28;2017/09/03;2017;9
BP;5540.0;7419.0;2703.0;2413.0;3019.0;2017/08/28;2017/09/03;2017;9
BO;1650.0;7624.0;2715.0;2580.0;2928.0;2017/08/28;2017/09/03;2017;9
BR;160.0;7826.0;2590.0;2404.0;2755.0;2017/08/28;2017/09/03;2017;9
BC;27.0;7682.0;2471.0;2103.0;3000.0;2017/08/28;2017/09/03;2017;9
BU;6.0;7101.0;2437.0;1950.0;2550.0;2017/08/28;2017/09/03;2017;9
BS;17.0;9179.0;2328.0;2000.0;2450.0;2017/08/28;2017/09/03;2017;9
HP;2647.0;8661.0;2580.0;2203.0;2727.0;2017/08/28;2017/09/03;2017;9
HO;3994.0;8860.0;2694.0;2637.0;2892.0;2017/08/28;2017/09/03;2017;9
HR;874.0;9022.0;2572.0;2507.0;2762.0;2017/08/28;2017/09/03;2017;9
HC;42.0;8982.0;2161.0;2098.0;2312.0;2017/08/28;2017/09/03;2017;9
HU;7.0;8713.0;2040.0;2040.0;2040.0;2017/08/28;2017/09/03;2017;9
HS;3.0;9540.0;1850.0;1850.0;1850.0;2017/08/28;2017/09/03;2017;9
SAU;551.0;13197.0;2031.0;1601.0;2478.0;2017/08/28;2017/09/03;2017;9
SAB;355.0;10442.0;2184.0;1041.0;2481.0;2017/08/28;2017/09/03;2017;9
A2;9.0;737.0;27588.0;4617.0;4663.0;2017/08/28;2017/09/03;2017;9
A3;1.0;537.0;28995.0;4616.0;4664.0;2017/08/28;2017/09/03;2017;9
AB2;520.0;27971.0;4509.0;4532.0;4373.0;2017/08/28;2017/09/03;2017;9
AB3;97.0;29497.0;4488.0;4544.0;4392.0;2017/08/28;2017/09/03;2017;9
B2;413.0;26255.0;4209.0;4329.0;4220.0;2017/08/28;2017/09/03;2017;9
B3;137.0;30166.0;4093.0;4327.0;4260.0;2017/08/28;2017/09/03;2017;9
C2;1.0;884.0;26434.0;4018.0;4101.0;2017/08/28;2017/09/03;2017;9
C3;693.0;29282.0;3984.0;4165.0;4035.0;2017/08/28;2017/09/03;2017;9
BP;5594.0;73.7;23.41;22.3;25.5;2016/08/29;2016/09/04;2016;9
BO;1941.0;76.39;23.44;22.3;23.91;2016/08/29;2016/09/04;2016;9
BR;135.0;76.24;22.44;20.68;23.33;2016/08/29;2016/09/04;2016;9
BC;30.0;77.13;20.89;18.22;23.5;2016/08/29;2016/09/04;2016;9
BU;7.0;82.22;18.71;15.0;21.0;2016/08/29;2016/09/04;2016;9
BS;6.0;77.87;20.45;20.0;22.5;2016/08/29;2016/09/04;2016;9
PP;1987.0;53.67;24.64;21.53;25.69;2016/08/29;2016/09/04;2016;9
PO;94.0;50.92;24.24;22.0;25.7;2016/08/29;2016/09/04;2016;9
PR;12.0;53.28;23.93;22.8;24.5;2016/08/29;2016/09/04;2016;9
PC;3.0;45.97;18.64;16.5;24.5;2016/08/29;2016/09/04;2016;9
SAB;94.0;115.28;15.13;6.0;19.5;2016/08/29;2016/09/04;2016;9
HP;2679.0;86.39;23.4;22.1;23.88;2016/08/29;2016/09/04;2016;9
HO;2833.0;87.6;23.34;21.97;23.63;2016/08/29;2016/09/04;2016;9
HR;578.0;88.09;22.77;12.1;23.5;2016/08/29;2016/09/04;2016;9
HC;34.0;89.98;18.75;11.4;20.5;2016/08/29;2016/09/04;2016;9
HU;4.0;90.35;18.75;18.75;18.75;2016/08/29;2016/09/04;2016;9
HS;5.0;95.47;20.29;15.1;23.5;2016/08/29;2016/09/04;2016;9
CP;601.0;60.9;23.97;22.4;24.09;2016/08/29;2016/09/04;2016;9
CO;42.0;62.23;24.06;22.4;25.0;2016/08/29;2016/09/04;2016;9
CR;6.0;61.51;21.4;15.3;22.83;2016/08/29;2016/09/04;2016;9
CC;1.0;62.4;22.0;22.0;22.0;2016/08/29;2016/09/04;2016;9
SAS;509.0;157.0;14.89;13.5;17.5;2016/08/29;2016/09/04;2016;9
PP;1702.0;5257.0;2937.0;2760.0;3083.0;2017/09/04;2017/09/10;2017;9
PO;112.0;5108.0;2883.0;2683.0;2950.0;2017/09/04;2017/09/10;2017;9
PR;19.0;4854.0;2720.0;2386.0;2900.0;2017/09/04;2017/09/10;2017;9
PC;8.0;4558.0;2227.0;2050.0;2850.0;2017/09/04;2017/09/10;2017;9
PU;4.0;4584.0;2194.0;1950.0;2800.0;2017/09/04;2017/09/10;2017;9
PS;12.0;10409.0;1886.0;1750.0;2800.0;2017/09/04;2017/09/10;2017;9
CP;1387.0;6122.0;2860.0;2681.0;3046.0;2017/09/04;2017/09/10;2017;9
CO;133.0;6287.0;2817.0;2656.0;2932.0;2017/09/04;2017/09/10;2017;9
CR;21.0;12054.0;2674.0;2500.0;2830.0;2017/09/04;2017/09/10;2017;9
CC;3.0;6093.0;2050.0;2050.0;2050.0;2017/09/04;2017/09/10;2017;9
CU;2.0;6265.0;2050.0;2050.0;2050.0;2017/09/04;2017/09/10;2017;9
CS;2.0;6495.0;2398.0;2050.0;2760.0;2017/09/04;2017/09/10;2017;9
BP;6291.0;7508.0;2759.0;2458.0;2987.0;2017/09/04;2017/09/10;2017;9
BO;1824.0;7725.0;2764.0;2644.0;2937.0;2017/09/04;2017/09/10;2017;9
BR;139.0;7671.0;2672.0;2494.0;2853.0;2017/09/04;2017/09/10;2017;9
BC;33.0;7530.0;2491.0;2033.0;2769.0;2017/09/04;2017/09/10;2017;9
BU;13.0;7728308.0;2398.0;2050.0;2700.0;2017/09/04;2017/09/10;2017;9
BS;7.0;7708.0;2073.0;1950.0;2172.0;2017/09/04;2017/09/10;2017;9
HP;4536.0;8661.0;2612.0;2379.0;2729.0;2017/09/04;2017/09/10;2017;9
HO;6103.0;8797.0;2687.0;2629.0;2866.0;2017/09/04;2017/09/10;2017;9
HR;927.0;9048.0;2606.0;2490.0;2880.0;2017/09/04;2017/09/10;2017;9
HC;60.0;8821.0;2414.0;2053.0;3000.0;2017/09/04;2017/09/10;2017;9
HU;8.0;8975.0;2468.0;2100.0;2650.0;2017/09/04;2017/09/10;2017;9
HS;9.0;9102.0;2112.0;1727.0;2750.0;2017/09/04;2017/09/10;2017;9
SAU;736.0;13653.0;2028.0;1797.0;2463.0;2017/09/04;2017/09/10;2017;9
SAB;291.0;10412.0;2059.0;1012.0;2494.0;2017/09/04;2017/09/10;2017;9
A2;9.0;564.0;27405.0;4621.0;4654.0;2017/09/04;2017/09/10;2017;9
A3;1.0;451.0;29270.0;4622.0;4642.0;2017/09/04;2017/09/10;2017;9
AB2;545.0;28014.0;4492.0;4524.0;4371.0;2017/09/04;2017/09/10;2017;9
AB3;164.0;30063.0;4517.0;4521.0;4390.0;2017/09/04;2017/09/10;2017;9
B2;552.0;28065.0;4233.0;4327.0;4225.0;2017/09/04;2017/09/10;2017;9
B3;170.0;31307.0;4177.0;4348.0;4260.0;2017/09/04;2017/09/10;2017;9
C2;1.0;776.0;27607.0;3998.0;4120.0;2017/09/04;2017/09/10;2017;9
C3;730.0;30275.0;3991.0;4210.0;3999.0;2017/09/04;2017/09/10;2017;9
BP;6155.0;74.0567;23.35;22.3;25.5;2016/09/05;2016/09/11;2016;9
BO;3066.0;75.2493;23.52;20.89;24.0;2016/09/05;2016/09/11;2016;9
BR;189.0;77.1414;22.53;18.89;23.33;2016/09/05;2016/09/11;2016;9
BS;2.0;86.8;21.36;20.0;22.5;2016/09/05;2016/09/11;2016;9
