Type;Class;Units;Avg_Mass (kg);Avg_Purchase;Avg_Selling;Selling_Min;Selling_Max;Start_date;End_date
Cattle;AB2;381.0;256.07;33.46;32.49;28.38;35.81;2016/01/11;2016/01/17
Cattle;AB3;62.0;276.32;34.06;33.62;29.28;35.81;2016/01/11;2016/01/17
Cattle;B2;360.0;242.86;30.44;29.36;27.05;32.0;2016/01/11;2016/01/17
Cattle;B3;41.0;286.99;30.72;30.92;27.94;32.17;2016/01/11;2016/01/17
Cattle;C2;1330.0;249.22;27.81;27.24;25.73;31.0;2016/01/11;2016/01/17
Cattle;C3;226.0;279.18;28.84;27.49;25.82;31.0;2016/01/11;2016/01/17
Cattle;A2;9883.0;252.8;38.78;38.43;36.17;42.15;2017/01/09;2017/01/15
Cattle;A3;997.0;276.57;38.63;38.62;36.72;42.15;2017/01/09;2017/01/15
Cattle;AB2;350.0;243.61;36.7;36.7;29.0;40.5;2017/01/09;2017/01/15
Cattle;AB3;53.0;277.83;37.45;37.18;34.5;39.11;2017/01/09;2017/01/15
Cattle;B2;236.0;240.73;34.96;35.92;32.0;39.42;2017/01/09;2017/01/15
Cattle;B3;46.0;276.07;34.62;35.44;31.09;38.5;2017/01/09;2017/01/15
Cattle;C2;1287.0;258.78;33.62;35.0;31.0;39.5;2017/01/09;2017/01/15
Cattle;C3;371.0;285.41;34.0;35.75;31.0;39.5;2017/01/09;2017/01/15
Cattle;A2;5387.0;264.55;47.56;47.86;46.0;49.01;2018/01/08;2018/01/14
Cattle;A3;864.0;280.69;47.67;47.8;46.72;49.14;2018/01/08;2018/01/14
Cattle;AB2;500.0;267.17;46.3;47.03;45.02;48.28;2018/01/08;2018/01/14
Cattle;AB3;69.0;300.81;45.87;40.46;44.71;48.14;2018/01/08;2018/01/14
Cattle;B2;369.0;250.09;43.89;45.59;42.52;47.5;2018/01/08;2018/01/14
Cattle;B3;63.0;283.88;43.98;45.33;42.02;47.65;2018/01/08;2018/01/14
Cattle;C2;1178.0;251.29;43.28;43.4;41.54;46.04;2018/01/08;2018/01/14
Cattle;C3;332.0;277.07;43.52;44.22;42.18;46.11;2018/01/08;2018/01/14
Cattle;A0;25.0;13.22;62.81;61.98;60.08;65.0;2018/01/08;2018/01/14
Cattle;A1;148.0;15.14;72.17;69.12;63.01;77.47;2018/01/08;2018/01/14
Cattle;A2;8244.0;21.65;75.98;73.2;70.72;80.3;2018/01/08;2018/01/14
Cattle;A3;1183.0;25.5;75.61;72.45;70.33;79.5;2018/01/08;2018/01/14
Cattle;A4;231.0;26.88;69.04;65.29;61.92;74.7;2018/01/08;2018/01/14
Cattle;A5;19.0;30.28;65.33;62.87;52.87;72.88;2018/01/08;2018/01/14
Cattle;A6;10.0;27.43;57.11;51.7;51.17;58.0;2018/01/08;2018/01/14
Cattle;AB2;125.0;21.5;68.38;68.37;61.12;73.89;2018/01/08;2018/01/14
Cattle;AB3;12.0;25.89;71.05;65.64;61.12;74.13;2018/01/08;2018/01/14
Cattle;B2;74.0;23.29;62.43;62.48;59.76;68.25;2018/01/08;2018/01/14
Cattle;B3;4.0;24.23;61.3;61.52;59.57;68.0;2018/01/08;2018/01/14
Cattle;C2;1039.0;23.77;53.77;55.03;53.31;67.32;2018/01/08;2018/01/14
Cattle;C3;73.0;26.87;51.05;54.52;52.53;64.78;2018/01/08;2018/01/14
Cattle;A2;3714.0;260.26;47.33;47.07;44.74;48.6;2017/05/15;2017/05/21
Cattle;A3;596.0;276.99;47.25;47.33;45.27;49.4;2017/05/15;2017/05/21
Cattle;AB2;326.0;241.5;44.66;44.67;40.87;46.57;2017/05/15;2017/05/21
Cattle;AB3;69.0;272.37;44.81;45.27;41.73;48.19;2017/05/15;2017/05/21
Cattle;B2;354.0;234.9;38.96;40.34;38.77;42.29;2017/05/15;2017/05/21
Cattle;B3;72.0;255.62;38.67;40.06;37.46;39.65;2017/05/15;2017/05/21
Cattle;C2;1735.0;245.78;37.92;38.18;36.91;39.83;2017/05/15;2017/05/21
Cattle;C3;616.0;272.66;38.81;38.93;37.5;40.0;2017/05/15;2017/05/21
Cattle;A2;9141.0;267.28;38.57;38.21;36.0;40.9;2016/05/16;2016/05/22
Cattle;A3;1579.0;281.45;38.31;38.76;37.23;40.9;2016/05/16;2016/05/22
Cattle;AB2;598.0;256.96;36.12;35.19;31.21;39.05;2016/05/16;2016/05/22
Cattle;AB3;97.0;295.3;36.56;35.97;32.1;41.16;2016/05/16;2016/05/22
Cattle;B2;508.0;252.01;31.55;31.78;27.5;38.16;2016/05/16;2016/05/22
Cattle;B3;79.0;278.85;31.48;31.29;28.5;36.0;2016/05/16;2016/05/22
Cattle;C2;2371.0;248.57;27.43;28.79;26.2;32.6;2016/05/16;2016/05/22
Cattle;C3;594.0;277.11;27.75;28.75;26.2;32.6;2016/05/16;2016/05/22
Cattle;A2;11313.0;262.93;38.54;38.34;27.5;40.41;2016/05/23;2016/05/29
Cattle;A3;2298.0;279.74;38.37;38.29;35.57;40.69;2016/05/23;2016/05/29
Cattle;AB2;814.0;253.27;36.16;36.44;26.5;41.16;2016/05/23;2016/05/29
Cattle;AB3;164.0;303.72;36.47;36.4;30.0;41.16;2016/05/23;2016/05/29
Cattle;B2;758.0;252.28;32.45;32.2;26.5;37.53;2016/05/23;2016/05/29
Cattle;B3;151.0;294.54;32.92;33.0;28.0;37.16;2016/05/23;2016/05/29
Cattle;C2;2038.0;247.62;28.39;28.68;26.54;32.6;2016/05/23;2016/05/29
Cattle;C3;719.0;282.94;28.45;28.71;26.93;32.5;2016/05/23;2016/05/29
Cattle;A2;9873.0;263.25;38.79;39.26;23.8;40.93;2016/05/30;2016/06/05
Cattle;A3;2092.0;281.18;38.67;39.33;36.49;40.06;2016/05/30;2016/06/05
Cattle;AB2;510.0;254.21;36.67;37.57;26.0;39.9;2016/05/30;2016/06/05
Cattle;AB3;109.0;297.96;36.31;38.0;30.0;40.0;2016/05/30;2016/06/05
Cattle;B2;475.0;253.45;31.88;32.77;25.0;37.73;2016/05/30;2016/06/05
Cattle;B3;93.0;289.59;32.28;33.29;27.5;37.3;2016/05/30;2016/06/05
Cattle;C2;1469.0;254.51;28.9;50.36;27.0;240.51;2016/05/30;2016/06/05
Cattle;C3;508.0;286.68;28.86;31.11;26.0;33.8;2016/05/30;2016/06/05
Cattle;A2;10827.0;256.01;38.33;37.77;35.8;40.0;2016/06/06;2016/06/12
Cattle;A3;1653.0;275.97;38.33;37.62;36.28;40.0;2016/06/06;2016/06/12
Cattle;AB2;551.0;260.25;36.27;35.6;30.63;41.11;2016/06/06;2016/06/12
Cattle;AB3;100.0;297.96;36.87;36.28;31.5;41.11;2016/06/06;2016/06/12
Cattle;B2;610.0;263.46;32.4;32.96;27.64;38.11;2016/06/06;2016/06/12
Cattle;B3;105.0;305.33;32.66;32.34;27.5;38.11;2016/06/06;2016/06/12
Cattle;C2;2267.0;242.56;28.29;28.46;26.8;31.9;2016/06/06;2016/06/12
Cattle;C3;513.0;280.37;28.35;28.28;26.77;32.73;2016/06/06;2016/06/12
Cattle;A2;9385.0;262.95;37.51;37.8;36.62;41.19;2016/06/13;2016/06/19
Cattle;A3;1632.0;280.22;37.89;37.28;33.51;39.0;2016/06/13;2016/06/19
Cattle;AB2;583.0;268.83;35.85;35.43;27.03;39.84;2016/06/13;2016/06/19
Cattle;AB3;147.0;299.75;35.17;35.25;30.0;39.84;2016/06/13;2016/06/19
Cattle;B2;628.0;250.11;31.73;31.86;26.64;35.0;2016/06/13;2016/06/19
Cattle;B3;133.0;279.27;31.2;31.41;27.0;35.25;2016/06/13;2016/06/19
Cattle;C2;2366.0;245.83;28.39;29.31;27.0;34.5;2016/06/13;2016/06/19
Cattle;C3;730.0;278.02;28.49;29.78;27.0;34.5;2016/06/13;2016/06/19
Cattle;A2;11053.0;263.04;37.78;38.05;32.01;42.88;2016/06/20;2016/06/26
Cattle;A3;2083.0;279.18;37.8;38.26;36.3;42.1;2016/06/20;2016/06/26
Cattle;AB2;657.0;256.32;35.45;35.72;29.0;38.5;2016/06/20;2016/06/26
Cattle;AB3;112.0;286.71;35.83;35.62;29.5;37.9;2016/06/20;2016/06/26
Cattle;B2;693.0;253.99;31.48;32.79;28.5;40.74;2016/06/20;2016/06/26
Cattle;B3;130.0;289.06;31.64;32.85;29.0;40.74;2016/06/20;2016/06/26
Cattle;C2;2753.0;250.61;28.48;28.97;27.0;34.5;2016/06/20;2016/06/26
Cattle;C3;731.0;284.86;28.89;29.46;27.0;34.5;2016/06/20;2016/06/26
Cattle;A2;13126.0;260.35;37.95;38.05;31.26;40.1;2016/06/27;2016/07/03
Cattle;A3;2339.0;277.58;37.96;37.72;34.0;40.2;2016/06/27;2016/07/03
Cattle;AB2;608.0;258.97;35.81;36.26;29.01;38.5;2016/06/27;2016/07/03
Cattle;AB3;146.0;283.65;36.29;36.44;33.36;38.25;2016/06/27;2016/07/03
Cattle;B2;618.0;252.44;31.67;32.79;28.0;37.4;2016/06/27;2016/07/03
Cattle;B3;160.0;282.7;32.16;33.0;29.5;37.7;2016/06/27;2016/07/03
Cattle;C2;2561.0;252.75;29.29;29.19;27.0;32.8;2016/06/27;2016/07/03
Cattle;C3;723.0;285.77;29.45;29.75;27.0;32.8;2016/06/27;2016/07/03
Cattle;A2;10297.0;260.13;38.01;37.97;37.07;40.0;2016/07/04;2016/07/10
Cattle;A3;1769.0;277.85;38.02;38.07;36.1;40.0;2016/07/04;2016/07/10
Cattle;AB2;492.0;266.11;36.35;36.68;29.74;38.5;2016/07/04;2016/07/10
Cattle;AB3;97.0;287.27;37.03;36.68;29.0;38.9;2016/07/04;2016/07/10
Cattle;B2;658.0;263.26;32.1;33.51;29.0;35.8;2016/07/04;2016/07/10
Cattle;B3;133.0;287.6;32.43;33.18;30.0;36.0;2016/07/04;2016/07/10
Cattle;C2;2165.0;257.32;29.58;30.18;27.0;32.5;2016/07/04;2016/07/10
Cattle;C3;592.0;283.42;29.84;30.8;27.5;33.14;2016/07/04;2016/07/10
Cattle;A2;13797.0;264.11;37.61;37.45;32.04;39.16;2016/07/11;2016/07/17
Cattle;A3;1503.0;284.88;37.81;37.2;35.65;39.48;2016/07/11;2016/07/17
Cattle;AB2;614.0;266.76;35.8;36.33;30.96;38.5;2016/07/11;2016/07/17
Cattle;AB3;106.0;289.38;35.4;35.8;31.0;37.61;2016/07/11;2016/07/17
Cattle;B2;632.0;269.86;32.74;33.21;27.36;37.64;2016/07/11;2016/07/17
Cattle;B3;120.0;295.04;31.95;33.3;29.5;37.64;2016/07/11;2016/07/17
Cattle;C2;2187.0;251.62;30.18;30.47;26.5;32.5;2016/07/11;2016/07/17
Cattle;C3;688.0;244.25;30.05;30.65;26.29;32.5;2016/07/11;2016/07/17
