Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
1. PEARS,PACKHAM'S TRIUMPH,CLASS 1,MEDIUM,ECONOMIC PACK,12.00 kg,95.00,95.00,95.00,95.00,R1235,13,10
2. PEARS,PACKHAM'S TRIUMPH,CLASS 1,MEDIUM,ECONOMIC PACK,12.00 kg,95.00,95.00,95.00,95.00,R1235,13,10
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
3. PEARS,ROSEMARIE,CLASS 1,MEDIUM,ECONOMIC PACK,1.50 kg,100.00,100.00,100.00,100.00,R2500,25,150
,,,,,"Monday, 23 January 2023",,,,,,,
,,,,,,,,,,,,
4. PEARS,PACKHAM'S TRIUMPH,CLASS 1,LARGE,CARTON,7.00 kg,0.00,0.00,0.00,ý,R0,0,33
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. PEPPERS,GREEN,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.00 kg,0.00,0.00,0.00,ý,R0,0,3
2. PEPPERS,GREEN,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.00 kg,0.00,0.00,0.00,ý,R0,0,3
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. PICKLE ONION,PICKLED ONIONS - WHITE,CLASS 1,UNDER SIZE,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,90
2. PICKLE ONION,PICKLED ONIONS - WHITE,CLASS 1,UNDER SIZE,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,90
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. PLUMS,KELSEY,CLASS 1,LARGE,PUNNET,1.00 kg,0.00,0.00,0.00,ý,R0,0,141
2. PLUMS,KELSEY,CLASS 1,LARGE,PUNNET,1.00 kg,0.00,0.00,0.00,ý,R0,0,141
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
3. PLUMS,KELSEY,CLASS 1,LARGE,PUNNET,1.00 kg,0.00,0.00,0.00,ý,R0,0,160
4. PLUMS,RED BEAUT,CLASS 1,LARGE,DOMPLE JUMBLE,11.00 kg,0.00,0.00,0.00,ý,R0,0,2
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. POTATOES - WASHED,MONDIAL,NOT GRADED,MEDIUM PLUS,STANDARD POCKET,10.00 kg,50.00,50.00,50.00,50.00,R6000,120,0
2. POTATOES - WASHED,MONDIAL,NOT GRADED,MEDIUM PLUS,STANDARD POCKET,10.00 kg,50.00,50.00,50.00,50.00,R6000,120,0
3. POTATOES - WASHED,MONDIAL,CLASS 1,LARGE,STANDARD POCKET,10.00 kg,60.08,80.00,20.00,60.09,R53540,891,1628
4. POTATOES - WASHED,MONDIAL,CLASS 1,MEDIUM,STANDARD POCKET,10.00 kg,55.00,55.00,55.00,55.00,R12100,220,0
5. POTATOES - WASHED,MONDIAL,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,74.44,80.00,65.00,74.44,R29480,396,2623
6. POTATOES - WASHED,MONDIAL,CLASS 1,LARGE,STANDARD POCKET,10.00 kg,60.08,80.00,20.00,60.09,R53540,891,1628
7. POTATOES - WASHED,MONDIAL,CLASS 1,MEDIUM,STANDARD POCKET,10.00 kg,55.00,55.00,55.00,55.00,R12100,220,0
8. POTATOES - WASHED,MONDIAL,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,74.44,80.00,65.00,74.44,R29480,396,2623
9. POTATOES - WASHED,MONDIAL,CLASS 2,LARGE,STANDARD POCKET,10.00 kg,54.65,55.00,30.00,54.66,R7215,132,1140
10. POTATOES - WASHED,MONDIAL,CLASS 2,MEDIUM PLUS,STANDARD POCKET,10.00 kg,55.43,75.00,50.00,55.43,R20455,369,2706
11. POTATOES - WASHED,MONDIAL,CLASS 2,LARGE,STANDARD POCKET,10.00 kg,54.65,55.00,30.00,54.66,R7215,132,1140
12. POTATOES - WASHED,MONDIAL,CLASS 2,MEDIUM PLUS,STANDARD POCKET,10.00 kg,55.43,75.00,50.00,55.43,R20455,369,2706
13. POTATOES - WASHED,MONDIAL,CLASS 3,MEDIUM PLUS,STANDARD POCKET,10.00 kg,68.00,68.00,68.00,68.00,R24480,360,1
14. POTATOES - WASHED,MONDIAL,CLASS 3,MEDIUM PLUS,STANDARD POCKET,10.00 kg,68.00,68.00,68.00,68.00,R24480,360,1
,,,,,"Wednesday, 08 February 2023",,,,,,,
,,,,,,,,,,,,
15. POTATOES - WASHED,MONDIAL,CLASS 3,LARGE,HALF POCKET,5.50 kg,75.00,75.00,75.00,75.00,R6600,88,0
16. POTATOES - WASHED,MONDIAL,CLASS 3,MEDIUM,STANDARD POCKET,10.00 kg,55.00,55.00,55.00,55.00,R1265,23,0
17. POTATOES - WASHED,MONDIAL,CLASS 1,LARGE,STANDARD POCKET,10.00 kg,68.92,70.00,68.00,68.92,R6410,93,787
18. POTATOES - WASHED,MONDIAL,CLASS 1,LARGE,HALF POCKET,5.50 kg,75.45,78.00,75.00,75.45,R12450,165,935
19. POTATOES - WASHED,MONDIAL,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,66.11,68.00,65.00,66.12,R57918,876,334
20. POTATOES - WASHED,MONDIAL,CLASS 2,LARGE,STANDARD POCKET,10.00 kg,66.13,70.00,65.00,66.14,R2910,44,1276
21. POTATOES - WASHED,MONDIAL,CLASS 2,MEDIUM PLUS,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,2200
22. POTATOES - WASHED,OTHER,CLASS 1,LARGE,STANDARD POCKET,10.00 kg,72.14,75.00,70.00,72.14,R74525,1033,18
23. POTATOES - WASHED,OTHER,CLASS 1,MEDIUM,STANDARD POCKET,10.00 kg,50.91,55.00,50.00,50.91,R30750,604,3
24. POTATOES - WASHED,OTHER,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,69.67,70.00,65.00,69.68,R16514,237,1
25. POTATOES - WASHED,OTHER,CLASS 2,LARGE,STANDARD POCKET,10.00 kg,61.28,65.00,60.00,61.28,R27700,452,344
26. POTATOES - WASHED,OTHER,CLASS 3,MEDIUM PLUS,HALF POCKET,5.50 kg,75.62,80.00,75.00,75.62,R3025,40,4
,,,,,"Monday, 23 January 2023",,,,,,,
,,,,,,,,,,,,
27. POTATOES - WASHED,MONDIAL,CLASS 2,LARGE,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,550
28. POTATOES - WASHED,MONDIAL,CLASS 2,MEDIUM PLUS,STANDARD POCKET,10.00 kg,0.00,0.00,0.00,ý,R0,0,2090
29. POTATOES - WASHED,MONDIAL,CLASS 1,LARGE,STANDARD POCKET,10.00 kg,25.00,25.00,25.00,25.00,R75,3,550
30. POTATOES - WASHED,MONDIAL,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,29.97,43.00,15.00,29.98,R22125,738,689
31. POTATOES - WASHED,OTHER,CLASS 1,LARGE,STANDARD POCKET,10.00 kg,40.54,60.00,15.00,40.55,R7420,183,1566
32. POTATOES - WASHED,OTHER,CLASS 1,MEDIUM PLUS,STANDARD POCKET,10.00 kg,50.74,55.00,15.00,50.75,R8830,174,1533
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock
,,,,,"Wednesday, 01 March 2023",,,,,,,
,,,,,,,,,,,,
1. TOMATOES,OTHER TOMATOES,CLASS 1,MEDIUM,CRATE,20.00 kg,183.33,200.00,150.00,183.33,R1100,6,11
2. TOMATOES,OTHER TOMATOES,CLASS 1,MEDIUM,CRATE,20.00 kg,183.33,200.00,150.00,183.33,R1100,6,11
