Date,Product,Variety,Class,Size,Package,Unit(kg),Closing Price,High Price,Low Price,Average Price,Total Sales(Rand),Sales Quantity,Closing Stock,Day,Month,Week
2023-03-22,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,282.89,320.0,200.0,260.0,41020,145,45,22,3,12
2023-03-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,82.29,250.0,7.0,128.5,2222,27,0,20,3,12
2023-03-14,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,284.24,350.0,60.0,205.0,46900,165,44,14,3,11
2023-03-13,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,248.21,350.0,30.0,190.0,6950,28,9,13,3,11
2023-03-10,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,219.79,350.0,100.0,225.0,10550,48,23,10,3,10
2023-03-08,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,282.3,300.0,70.0,185.0,11010,39,5,8,3,10
2023-03-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,85.12,180.0,80.0,130.0,3320,39,8,7,3,10
2023-03-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.5,0.0,0.0,0.0,0.0,0,0,7,7,3,10
2023-03-06,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,18.57,60.0,10.0,35.0,390,21,0,6,3,10
2023-03-03,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,226.16,350.0,80.0,215.0,19450,86,23,3,3,9
2023-03-02,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,20.0,20.0,20.0,20.0,40,2,15,2,3,9
2023-03-01,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,44.0,96.0,40.0,68.0,836,19,17,1,3,9
