Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
B3,53,26.08,41.66,44.15,40.00,48.00
C2,1306,22.69,40.51,40.23,37.00,47.60
C3,550,26.37,41.94,40.35,37.00,47.00
A2,11517,260.97,48.29,45.99,41.66,47.79
A3,1639,283.79,48.30,47.17,44.81,48.51
AB2,718,257.88,45.74,45.51,42.84,47.86
AB3,162,280.41,46.25,45.19,42.76,47.64
B2,528,242.37,40.33,40.90,38.95,43.01
B3,93,273.66,42.39,42.04,39.41,45.57
C2,2216,249.96,38.93,39.27,37.58,40.58
C3,773,279.77,39.17,39.36,37.87,40.35
A0,243,13.52,58.25,58.36,56.56,59.00
A1,1088,16.00,66.46,66.96,62.24,68.73
A2,10432,20.91,68.11,64.23,55.91,69.04
A3,1844,30.89,68.22,65.27,56.65,69.74
A4,354,23.51,59.31,57.52,54.06,62.66
A5,69,23.83,53.48,52.04,48.62,60.17
A6,96,22.63,47.54,50.85,47.48,58.94
AB2,230,22.10,60.67,59.97,55.81,63.18
AB3,32,27.22,58.34,58.91,55.08,61.05
B2,237,25.25,51.93,52.46,48.89,62.00
B3,57,29.46,52.62,52.83,48.55,59.67
C2,1171,23.72,50.49,50.53,46.33,52.35
C3,353,27.15,48.56,48.99,47.00,52.27
Mass,Price,Min,Max,Merino,ea,96.35
24,24.5,25,25.5,26,26.5,27
B2,538,254.31,43.22,44.20,42.18,46.54
B3,127,282.28,42.93,44.16,42.67,45.94
C3,557,285.92,41.03,42.02,41.05,43.05
A0,116,14.27,51.29,59.64,42.36,64.92
A1,806,15.23,67.43,66.66,63.83,68.14
A4,217,22.89,62.11,63.23,58.73,78.50
A5,41,23.61,55.34,57.53,52.95,68.88
A6,56,21.96,52.96,53.63,51.46,60.08
AB2,114,20.62,59.00,62.33,56.60,65.20
AB3,16,21.26,59.80,61.93,58.33,65.65
B2,70,23.45,57.92,61.67,53.24,67.78
B3,19,25.23,58.15,59.69,54.57,62.41
C2,904,23.43,53.65,55.09,50.89,56.82
C3,207,24.89,52.53,54.33,51.87,56.10
P,2,028,52.73,21.91,20.26,22.76
P,1,221,61.26,20.25,17.88,21.96
P,7,312,74.88,19.75,18.13,21.49
O,2,462,76.07,20.33,18.71,21.99
P,3,024,85.24,19.08,17.91,19.79
O,6,031,87.91,19.27,18.57,19.71
B2,282,258.63,38.64,41.60,38.58,45.09
B3,56,310.94,39.48,42.03,39.10,45.67
C2,1485,256.58,37.42,39.90,36.77,42.01
C3,489,284.77,38.00,40.24,38.39,42.06
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,62,12.34,49.27,60.28,57.75,60.92
A1,200,14.61,63.51,67.82,66.29,68.34
A2,8351,21.63,66.03,69.74,65.67,72.56
A3,1222,23.83,65.59,69.67,67.72,70.64
A4,214,21.57,53.13,61.71,58.73,63.22
A5,13,25.14,46.61,59.58,51.27,69.66
A6,38,22.38,44.38,56.46,52.33,82.56
AB2,30,20.97,54.93,62.52,59.17,65.58
AB3,13,20.67,46.30,61.49,58.00,61.92
B2,52,22.28,47.74,56.92,55.51,57.52
B3,43,21.85,45.80,55.63,55.48,55.68
C2,597,23.46,46.31,51.59,45.54,55.48
C3,158,23.64,46.17,54.35,53.83,55.19
B2,462.00,259.45,42.73,43.22,40.93,44.86
B3,111.00,284.50,42.50,43.03,41.36,44.73
C3,760.00,306.16,40.70,40.90,40.63,41.19
A0,35.00,15.01,55.47,59.41,46.00,66.00
A1,311.00,15.27,66.42,64.79,54.00,71.13
A4,240.00,27.14,59.71,62.81,61.55,66.34
A5,50.00,26.94,50.72,53.48,52.92,55.54
A6,61.00,25.65,51.68,51.66,51.27,64.00
AB2,146.00,22.62,61.61,63.97,61.42,65.24
AB3,14.00,23.35,64.25,64.99,61.18,67.00
B2,195.00,25.04,55.77,59.25,52.00,66.10
B3,15.00,27.02,57.24,61.01,53.73,65.35
C2,824.00,25.00,53.11,56.36,53.68,58.04
C3,201.00,26.63,53.29,55.61,52.49,56.80
P,1,705.00,52.06,22.33,19.35,24.00
P,1,127.00,61.29,20.34,17.91,22.10
P,7,307.00,75.81,20.33,18.49,21.79
O,2,791.00,77.11,20.61,18.61,22.43
P,3,791.00,85.09,19.49,18.32,20.55
O,6,155.00,86.22,19.32,18.78,19.75
R,1,158.00,87.22,18.53,17.48,20.41
17181920212223Lamb,A2,-Sales,Price,2018,2017,2016
A2,10827,256.01,38.33,37.77,35.80,40.00
A3,1653,275.97,38.33,37.62,36.28,40.00
AB2,551,260.25,36.27,35.60,30.63,41.11
AB3,100,297.96,36.87,36.28,31.50,41.11
B2,610,263.46,32.40,32.96,27.64,38.11
B3,105,305.33,32.66,32.34,27.50,38.11
C2,2267,242.56,28.29,28.46,26.80,31.90
C3,513,280.37,28.35,28.28,26.77,32.73
A0,111,13.68,43.96,44.63,34.28,48.00
A1,573,16.70,55.77,54.52,50.00,58.08
A2,10822,20.04,56.50,55.61,53.00,63.96
A3,1819,22.01,56.09,55.84,52.00,63.00
A4,364,22.60,49.50,49.09,47.48,55.00
A5,68,24.13,45.36,46.65,39.49,55.00
A6,80,22.31,39.14,43.14,39.63,53.00
AB2,238,19.76,46.93,49.53,43.00,56.00
AB3,30,21.83,47.58,48.42,45.67,52.50
B2,54,24.89,42.55,45.00,34.00,51.00
B3,17,26.35,43.76,44.66,42.14,48.00
C2,1445,22.79,40.29,37.31,32.57,50.50
C3,347,25.53,39.87,39.25,35.00,50.50
B2,315,256.97,38.29,40.71,35.57,45.28
B3,61,285.52,39.14,39.86,38.39,42.40
C2,1425,261.85,37.29,39.24,36.64,42.13
C3,426,298.03,37.41,39.57,37.01,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,54,13.94,45.98,60.30,56.00,64.33
A1,355,14.02,64.32,68.58,67.14,70.58
A2,8063,21.35,67.88,70.35,68.24,71.14
A3,1495,23.29,68.25,70.11,69.79,70.57
A4,253,22.21,53.69,61.99,58.50,62.09
A5,7,22.86,45.10,53.80,53.80,53.80
A6,49,20.04,46.04,53.18,52.33,57.12
AB2,142,22.18,56.25,61.55,59.29,63.13
AB3,12,23.12,50.41,61.20,60.00,61.89
B2,366,24.40,55.48,57.83,55.01,58.52
B3,47,25.25,51.02,54.93,53.96,55.72
C2,792,23.60,46.41,51.09,45.68,55.00
C3,107,26.87,47.19,52.15,48.90,55.00
A2,8574,252.42,47.90,46.23,45.13,47.36
A3,936,264.62,47.52,46.28,44.94,48.31
AB2,642,263.31,45.98,45.30,43.00,48.03
AB3,130,278.49,46.13,45.31,43.22,47.79
B2,368,238.74,42.09,41.96,38.99,43.93
B3,96,264.77,42.40,42.73,39.57,45.30
C2,1691,240.04,39.65,39.62,38.12,41.45
C3,376,264.12,39.72,40.00,38.45,41.57
A0,252,13.57,63.53,60.47,52.64,62.50
A1,1529,16.33,73.21,71.44,62.66,75.00
A2,10307,20.54,71.05,68.12,65.04,74.22
A3,1329,22.86,69.35,66.78,64.88,71.41
A4,302,23.03,60.51,58.89,57.27,64.81
A5,57,21.21,56.16,53.83,49.02,60.68
A6,71,19.63,56.60,55.03,48.99,61.59
AB2,125,22.15,62.27,62.69,52.03,66.69
AB3,38,25.96,61.04,62.64,51.16,66.60
B2,221,25.65,53.18,53.42,48.00,57.71
B3,73,28.36,53.88,55.55,49.48,62.00
C2,901,23.69,51.40,52.75,48.14,54.87
C3,182,26.44,51.12,51.95,44.54,54.59
Mass,Price,Min,Max,Merino,ea,101.25
24,24.5,25,25.5,26,26.5,27
B2,434,258.67,42.62,43.19,40.91,44.96
B3,105,290.80,42.02,43.37,41.98,44.08
C3,641,289.97,40.70,41.62,40.37,43.10
A0,21,12.70,55.13,62.11,49.90,69.53
A1,190,16.70,68.55,69.95,66.00,73.04
A3,495,33.91,70.98,73.33,71.86,75.25
A4,87,32.98,65.89,67.96,63.50,72.12
A5,11,26.35,55.26,57.18,52.05,62.30
A6,16,21.33,54.15,54.15,54.15,54.15
AB2,200,20.93,65.19,67.02,65.32,68.21
AB3,24,24.20,62.45,67.44,63.80,70.40
B2,292,23.00,64.89,65.81,60.53,67.32
B3,31,29.30,52.30,58.80,54.85,67.00
C2,615,23.77,54.27,56.75,52.24,59.51
C3,100,28.43,53.11,56.08,52.83,58.38
P,1,790,52.43,23.14,20.50,24.00
P,5,727,75.73,20.72,19.42,22.08
O,2,089,77.45,21.04,19.61,22.50
P,2,596,86.09,20.39,18.04,21.50
O,3,749,88.37,19.99,19.18,20.99
A2,9385,262.95,37.51,37.80,36.62,41.19
A3,1632,280.22,37.89,37.28,33.51,39.00
AB2,583,268.83,35.85,35.43,27.03,39.84
AB3,147,299.75,35.17,35.25,30.00,39.84
B2,628,250.11,31.73,31.86,26.64,35.00
B3,133,279.27,31.20,31.41,27.00,35.25
C2,2366,245.83,28.39,29.31,27.00,34.50
C3,730,278.02,28.49,29.78,27.00,34.50
A0,172,11.80,43.01,44.65,35.02,48.00
A1,622,15.34,52.77,52.89,48.00,59.04
A2,11782,20.15,56.42,55.84,52.00,66.00
A3,2778,21.30,56.31,56.03,52.00,66.00
A4,493,21.66,48.43,47.35,42.00,55.30
A5,134,20.92,41.64,39.74,38.00,39.17
A6,162,19.00,40.63,39.47,38.00,47.65
AB2,129,20.82,44.43,49.00,42.00,55.00
AB3,59,22.19,43.69,48.83,43.67,53.00
B2,136,23.93,41.62,43.20,37.00,50.07
B3,79,24.23,40.73,41.16,37.00,48.00
C2,721,22.86,39.37,41.25,37.00,47.60
C3,252,24.73,38.77,39.38,37.00,45.00
B2,335,258.54,38.69,40.94,38.69,43.98
B3,85,302.56,39.23,41.24,39.46,44.95
C2,1387,262.25,37.24,39.63,36.24,42.01
C3,474,290.37,37.52,40.31,38.08,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,53,14.42,47.78,56.14,54.73,60.00
A1,194,14.87,64.11,68.46,66.40,70.00
A2,8238,21.76,61.46,70.71,69.13,72.09
A3,1058,22.49,67.59,70.58,70.00,72.28
A4,191,20.23,53.54,62.67,61.08,64.81
A5,9,20.11,50.78,60.22,53.80,65.09
A6,35,18.73,47.83,56.63,52.32,73.01
AB2,86,20.02,52.40,60.91,55.72,63.37
AB3,2,19.80,55.32,61.95,61.88,62.00
B2,328,23.02,50.85,57.00,54.29,57.64
B3,39,24.62,48.73,50.92,50.19,55.66
C2,666,23.38,46.46,50.16,45.00,54.64
C3,82,26.20,46.77,52.33,49.00,55.25
A2,9667,264.31,47.66,46.45,45.03,47.53
A3,1341,282.99,47.36,46.63,45.09,48.29
AB2,866,264.68,46.06,44.94,42.39,46.20
AB3,177,285.75,46.15,45.12,42.83,46.09
B2,595,251.27,42.37,42.02,39.48,44.09
B3,123,283.47,43.36,43.20,40.63,45.26
C2,2093,248.97,40.28,40.17,38.46,41.48
C3,520,281.36,40.33,40.37,38.68,41.65
A0,393,20.24,59.14,61.25,63.84,67.00
A1,1686,15.71,72.26,72.54,63.84,76.00
A2,12347,20.79,73.32,69.43,65.26,73.81
A3,1772,22.54,71.65,68.27,65.07,73.53
A4,322,22.89,61.93,60.53,57.32,67.11
A5,55,22.31,55.65,55.12,47.11,67.64
A6,117,20.85,52.75,53.87,48.85,62.79
AB2,244,21.71,65.68,63.83,57.33,68.10
AB3,37,23.82,62.29,63.03,53.38,67.07
B2,334,24.47,56.58,56.73,51.52,65.12
B3,214,23.89,60.96,62.32,55.64,64.50
C2,981,23.48,53.98,54.47,48.86,58.33
C3,305,26.96,53.94,54.98,51.98,59.25
Mass,Price,Min,Max,Merino,ea,98.44
A2,11053,263.04,37.78,38.05,32.01,42.88
A3,2083,279.18,37.80,38.26,36.30,42.10
AB2,657,256.32,35.45,35.72,29.00,38.50
AB3,112,286.71,35.83,35.62,29.50,37.90
B2,693,253.99,31.48,32.79,28.50,40.74
B3,130,289.06,31.64,32.85,29.00,40.74
C2,2753,250.61,28.48,28.97,27.00,34.50
C3,731,284.86,28.89,29.46,27.00,34.50
A0,112,12.45,46.50,45.64,42.45,52.00
A1,539,15.42,54.91,54.19,49.42,58.00
A2,10700,21.13,57.67,56.23,53.00,64.08
A3,1872,22.52,57.35,56.22,48.12,63.00
A4,439,23.68,50.89,48.79,42.00,58.00
A5,85,23.76,44.07,43.65,39.48,49.81
A6,118,24.25,42.67,42.63,39.65,48.62
AB2,192,22.91,50.08,50.33,42.00,56.00
AB3,23,26.60,50.94,46.07,32.00,56.00
B2,192,24.67,44.08,45.25,40.00,51.00
B3,31,28.08,44.26,45.43,40.00,49.48
C2,937,23.67,41.40,43.55,38.68,47.60
C3,213,26.97,41.65,42.87,39.30,45.00
B2,299,272.31,38.91,45.04,39.71,47.00
B3,78,300.18,38.88,45.28,39.61,47.00
C2,1077,261.26,36.61,39.78,36.63,42.00
C3,331,282.67,36.87,39.98,37.00,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,40,14.96,55.36,61.48,29.50,64.84
A1,238,15.33,65.47,69.56,66.40,71.41
A2,7830,21.77,70.32,71.05,69.13,72.09
A3,1390,22.73,69.55,70.62,70.00,72.28
A4,211,22.09,56.37,62.51,61.08,64.81
A5,20,23.33,52.38,60.45,53.80,69.00
A6,58,21.51,49.76,56.51,52.32,66.12
AB2,53,20.79,52.86,61.62,56.96,63.37
AB3,6,20.47,51.40,61.87,61.87,61.87
B2,137,23.46,51.27,56.36,54.29,56.99
B3,17,27.12,48.82,52.47,50.52,55.61
C2,668,24.95,46.87,50.69,46.00,54.64
C3,103,27.70,48.10,52.58,45.00,55.25
A2,13126,260.35,37.95,38.05,31.26,40.10
A3,2339,277.58,37.96,37.72,34.00,40.20
AB2,608,258.97,35.81,36.26,29.01,38.50
AB3,146,283.65,36.29,36.44,33.36,38.25
B2,618,252.44,31.67,32.79,28.00,37.40
B3,160,282.70,32.16,33.00,29.50,37.70
C2,2561,252.75,29.29,29.19,27.00,32.80
C3,723,285.77,29.45,29.75,27.00,32.80
A0,210,13.32,48.12,49.16,33.06,52.00
A1,748,15.26,58.25,55.09,39.00,62.00
A2,13513,20.58,59.18,57.39,55.00,65.00
A3,2392,22.06,58.70,57.13,55.00,63.00
A4,539,22.78,51.38,50.61,47.46,60.00
A5,81,23.33,45.58,44.81,39.48,62.00
A6,183,22.32,43.30,44.08,39.65,51.08
AB2,264,21.24,50.99,51.45,41.00,57.00
AB3,32,24.59,50.16,50.28,41.00,54.00
B2,755,22.40,48.44,48.58,37.00,51.99
B3,52,27.29,47.20,47.26,37.00,52.00
C2,1191,23.84,43.39,43.32,38.00,49.00
C3,394,26.42,43.48,43.77,39.00,47.41
A2,10872,266.85,47.47,46.75,44.96,47.74
A3,1571,282.56,47.41,46.28,44.05,47.81
AB2,759,269.38,46.10,44.91,42.54,45.85
AB3,128,290.33,45.63,45.12,43.16,46.64
B2,553,255.13,42.02,41.88,39.09,44.27
B3,112,263.67,42.42,42.97,40.04,45.19
C2,1782,250.57,40.07,39.31,37.60,41.82
C3,475,275.74,40.34,40.19,38.65,42.11
A0,206,13.38,66.47,64.61,53.94,69.00
A1,1225,16.46,75.73,75.44,72.18,77.00
A2,6928,19.45,73.96,75.01,71.93,77.00
A3,695,22.00,72.40,73.46,71.19,76.28
A4,59,25.59,62.37,68.31,61.77,75.31
A5,18,21.82,60.61,63.86,61.50,66.75
A6,17,25.46,60.34,65.23,61.67,68.33
AB2,168,22.85,65.49,67.13,61.87,69.54
AB3,18,25.82,65.13,66.24,61.92,68.42
B2,390,24.85,56.97,59.97,53.04,66.91
B3,95,28.68,58.64,61.29,54.49,66.73
C2,1577,25.03,54.21,56.47,51.16,59.19
C3,308,27.38,52.70,54.83,48.00,60.00
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,15.36
B2,238,251.01,41.68,43.42,41.02,45.73
B3,70,289.13,41.58,43.93,42.41,45.45
C3,454,289.26,39.93,41.98,39.45,43.14
A0,34,17.54,55.11,64.60,45.00,69.48
A1,125,18.18,75.33,77.03,72.00,82.00
A3,207,23.90,74.89,79.60,77.77,81.72
A4,31,25.17,68.36,76.29,68.91,80.00
A5,3,23.30,65.00,65.00,65.00,65.00
A6,10,35.18,63.63,64.82,56.00,70.00
AB2,64,22.95,65.06,71.78,67.00,78.00
AB3,1,27.60,67.50,78.50,78.50,78.50
B2,116,23.48,64.82,66.93,59.95,69.79
B3,2,28.55,62.94,66.45,64.00,69.00
C2,919,24.28,57.39,59.52,58.37,60.62
C3,153,26.94,57.70,58.87,58.42,59.05
P,1,547,52.94,23.97,21.15,25.05
P,6,993,76.16,21.33,19.85,22.35
O,2,436,77.02,21.53,20.11,22.50
P,2,206,86.29,21.66,20.49,22.50
O,3,299,88.35,20.67,19.81,21.86
B2,302,274.35,39.24,40.84,38.84,44.17
B3,130,312.12,39.42,40.59,38.66,43.70
C2,1319,267.59,37.24,39.77,37.29,42.17
C3,516,274.83,37.33,39.31,34.78,42.06
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,9,16.23,45.73,55.52,51.00,59.97
A1,197,16.04,63.73,66.47,64.82,68.44
A2,8450,22.45,70.77,70.85,68.74,73.41
A3,1650,24.13,70.73,70.67,69.67,73.34
A4,255,25.19,60.01,63.08,62.01,66.70
A5,13,27.28,60.74,59.50,53.80,69.50
A6,19,25.72,54.46,53.26,52.32,60.00
AB2,378,22.85,57.05,57.72,53.05,63.41
AB3,8,25.31,57.55,60.33,49.00,61.85
B2,514,23.46,51.38,51.73,51.16,52.99
B3,30,27.20,47.54,48.61,47.14,55.41
C2,433,25.98,47.39,50.79,46.64,55.23
C3,170,29.57,47.82,50.68,45.70,56.41
A2,10398,266.68,46.24,46.32,44.15,47.49
A3,1385,282.79,46.63,46.40,44.59,48.32
AB2,790,262.71,45.09,45.71,42.31,47.06
AB3,124,284.80,45.48,45.15,43.13,46.69
B2,491,253.00,41.27,42.65,34.72,48.00
B3,97,272.42,42.41,42.65,37.39,45.45
C2,1205,253.87,40.60,40.63,37.53,43.90
C3,382,293.85,40.91,40.62,37.04,41.70
A0,151,13.03,63.76,64.17,55.24,68.00
A1,1246,15.55,74.63,72.98,62.12,77.96
A2,9053,20.67,75.52,71.50,65.65,78.46
A3,1169,23.36,75.37,68.84,65.47,77.26
A4,256,23.46,66.10,60.72,57.40,69.49
A5,37,22.69,56.04,54.31,48.73,64.57
A6,52,23.86,61.64,56.83,49.26,66.00
AB2,179,21.97,66.18,65.18,54.81,69.36
AB3,25,26.07,62.26,61.35,51.39,68.50
B2,370,24.47,60.66,61.12,53.53,68.00
B3,63,27.53,56.80,57.03,49.86,63.53
C2,1120,24.75,53.57,55.00,48.68,60.08
C3,238,28.25,54.46,54.29,47.82,60.49
22,23,24,25,26,27,28
A2,10297,260.13,38.01,37.97,37.07,40.00
A3,1769,277.85,38.02,38.07,36.10,40.00
AB2,492,266.11,36.35,36.68,29.74,38.50
AB3,97,287.27,37.03,36.68,29.00,38.90
B2,658,263.26,32.10,33.51,29.00,35.80
B3,133,287.60,32.43,33.18,30.00,36.00
C2,2165,257.32,29.58,30.18,27.00,32.50
C3,592,283.42,29.84,30.80,27.50,33.14
A0,284,13.89,47.60,49.39,35.00,56.00
A1,985,16.91,60.03,58.94,54.84,62.00
A2,14546,20.65,58.02,59.68,55.00,63.96
A3,3512,22.16,58.23,59.25,55.00,62.33
A4,875,22.47,51.60,49.90,46.78,59.47
A5,250,22.02,44.17,40.86,38.00,51.59
A6,787,20.75,43.79,40.33,39.00,45.68
AB2,312,22.44,48.98,50.06,44.29,59.70
AB3,92,25.65,46.68,47.35,36.50,56.04
B2,300,27.20,42.22,43.86,38.34,51.00
B3,103,29.03,42.88,42.93,36.00,41.62
C2,1209,23.52,43.52,44.79,41.00,49.19
C3,537,26.64,43.02,47.06,41.00,53.80
B2,391,261.63,41.20,41.66,35.59,44.05
B3,101,302.05,42.10,43.19,41.58,44.65
C3,626,282.55,40.54,41.31,39.64,42.13
A0,59,13.66,68.82,70.22,57.56,73.25
A1,544,15.07,69.38,78.37,77.38,79.72
A4,179,22.43,62.29,71.70,70.76,73.09
A5,86,23.51,52.99,62.81,62.26,63.44
A6,134,23.64,51.36,62.28,47.00,62.55
AB2,90,20.87,69.44,70.19,63.01,74.08
AB3,12,23.07,64.35,64.08,60.94,71.00
B2,348,23.91,70.16,71.74,70.65,72.00
B3,205,26.10,65.75,70.68,59.93,71.00
C2,397,23.96,58.74,62.32,56.13,66.00
C3,100,24.67,57.71,61.38,56.49,66.00
P,1,593,52.38,24.01,21.77,25.03
P,7,608,75.03,21.73,20.70,22.99
O,3,187,75.87,21.87,20.69,23.40
P,4,270,84.92,20.72,19.19,22.43
O,6,439,86.78,20.09,19.16,21.39
R,1,082,87.82,19.20,18.69,20.36
>100kg,1,036,128.78,15.64,12.86,18.02
A2,8091,265.07,46.04,46.49,44.49,47.28
A3,1027,282.43,46.53,46.62,44.27,47.72
AB2,641,265.67,45.20,45.35,42.34,47.01
AB3,151,290.78,45.24,45.18,43.03,46.37
B2,550,269.49,42.36,42.92,40.68,44.48
B3,98,300.69,41.60,40.12,41.15,46.02
C2,1648,254.42,40.85,39.99,37.96,42.48
C3,369,287.68,41.02,40.50,37.55,42.62
A0,344,14.29,65.95,65.89,61.68,68.00
A1,751,16.11,74.36,72.68,67.96,74.12
A2,9605,20.56,75.41,69.80,66.14,75.88
A3,1292,22.77,75.64,69.07,65.72,78.44
A4,312,24.41,66.58,61.25,56.54,74.54
A5,43,26.07,57.53,54.98,49.51,68.33
A6,59,22.57,59.72,54.76,48.62,64.67
AB2,132,21.55,66.52,62.80,56.33,69.42
AB3,12,26.25,65.48,63.64,54.05,68.69
B2,347,23.27,60.48,64.01,53.79,68.81
B3,166,12.69,59.48,61.60,54.09,65.75
C2,951,24.29,55.35,58.59,52.75,61.20
C3,322,27.23,55.14,58.79,55.41,59.78
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,15.03
B2,424,277.84,42.85,43.47,41.09,45.59
B3,96,300.07,42.19,43.44,42.24,44.06
C3,616,284.71,40.39,41.26,39.47,43.14
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,60,12.77,54.04,58.18,51.63,66.44
A1,502,14.86,79.59,77.49,67.15,81.15
A4,220,20.74,69.94,65.00,61.83,70.30
A5,62,21.20,63.85,57.05,53.16,64.59
A6,85,21.65,61.60,57.33,51.54,68.20
AB2,177,19.07,60.84,61.43,59.00,69.15
AB3,55,21.18,62.11,61.33,60.89,62.55
B2,200,24.06,62.74,65.81,58.48,72.00
B3,66,26.56,61.24,61.71,57.67,65.00
C2,848,23.75,58.00,60.04,54.66,62.89
C3,271,27.53,57.85,59.29,53.67,63.65
P,1,324,50.42,24.03,21.33,25.12
P,6,863,75.42,21.81,20.84,23.00
O,2,960,76.62,21.87,20.77,23.28
P,4,043,85.23,20.98,19.20,22.51
O,6,525,87.16,20.19,19.20,21.53
A2,13797,264.11,37.61,37.45,32.04,39.16
A3,1503,284.88,37.81,37.20,35.65,39.48
AB2,614,266.76,35.80,36.33,30.96,38.50
AB3,106,289.38,35.40,35.80,31.00,37.61
B2,632,269.86,32.74,33.21,27.36,37.64
B3,120,295.04,31.95,33.30,29.50,37.64
C2,2187,251.62,30.18,30.47,26.50,32.50
C3,688,244.25,30.05,30.65,26.29,32.50
A0,240,12.25,48.01,48.03,39.60,53.50
A1,838,16.33,60.04,59.58,47.00,61.00
A2,8479,22.05,57.41,60.33,54.00,64.01
A3,1320,24.66,57.08,60.11,55.00,63.00
A4,219,24.73,49.94,52.65,48.00,62.00
A5,41,25.45,43.54,47.42,41.30,57.42
A6,25,23.01,41.11,45.15,39.00,55.00
AB2,161,24.41,51.15,52.47,45.00,59.70
AB3,51,24.16,50.61,51.61,45.00,59.70
B2,283,24.81,45.25,45.40,43.00,50.40
B3,45,26.54,45.17,44.01,41.50,45.93
C2,410,25.58,45.73,45.61,42.00,48.00
C3,220,28.18,45.63,45.04,43.00,48.00
B2,329,262.03,39.55,41.46,38.64,45.22
B3,70,304.61,39.92,41.32,39.61,46.09
C2,1471,263.78,37.32,39.57,37.20,43.00
C3,548,294.62,37.59,40.09,37.46,43.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,28,12.72,53.99,64.77,59.97,67.00
A1,229,14.16,65.44,66.86,61.32,68.73
A2,6099,21.53,69.87,70.14,65.97,73.81
A3,708,23.26,70.81,69.33,65.36,71.74
A4,98,23.07,61.62,61.62,60.71,62.13
A5,12,18.89,52.34,56.42,53.80,59.00
A6,28,20.36,53.22,58.67,52.32,61.64
AB2,120,23.61,57.64,62.00,60.16,63.22
AB3,5,26.78,58.14,60.36,59.00,61.84
B2,163,25.12,49.75,55.90,53.27,59.55
B3,18,28.25,51.58,55.18,51.40,57.31
C2,776,25.54,50.16,54.37,52.25,59.73
C3,163,28.85,50.52,54.66,52.34,58.21
A2,9754,261.09,37.70,37.36,35.00,39.00
A3,1373,282.87,37.74,37.27,35.81,39.27
AB2,447,268.28,35.77,36.38,30.10,40.38
AB3,105,299.20,35.02,35.67,32.62,40.38
B2,560,270.44,32.53,33.22,26.00,34.90
B3,89,293.12,31.79,33.10,31.46,34.50
C2,2284,251.23,30.02,30.52,27.84,32.70
C3,640,280.74,30.07,31.15,28.00,32.70
A0,188,14.00,51.07,51.27,38.00,53.00
A1,862,16.91,59.60,59.31,50.00,60.50
A2,9793,21.53,57.59,58.72,54.79,64.19
A3,1553,23.96,57.63,57.88,53.97,61.81
A4,232,25.70,51.31,51.14,48.00,58.59
A5,29,24.53,44.45,47.10,39.00,55.00
A6,27,24.93,43.98,45.41,42.26,55.00
AB2,105,21.92,50.22,51.70,48.00,59.70
AB3,48,28.75,47.15,47.28,29.00,59.70
B2,207,26.54,44.31,46.58,37.00,50.40
B3,90,29.27,45.76,47.19,41.00,50.00
C2,652,25.19,44.36,46.46,41.00,48.71
C3,278,27.00,45.46,46.16,42.74,48.69
B2,687,272.45,42.25,43.54,41.53,45.05
B3,88,298.08,43.26,43.27,42.35,44.05
C3,657,288.72,37.03,42.22,37.54,45.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,121,12.35,49.35,56.65,54.00,62.67
A4,432,20.75,72.86,67.40,62.01,71.50
A5,92,21.69,69.00,61.04,53.20,66.58
A6,75,22.41,68.44,60.37,51.55,64.01
AB2,205,19.01,64.38,65.54,60.00,77.14
AB3,55,22.53,66.09,67.07,62.72,78.32
B2,476,24.08,67.01,72.91,68.01,74.00
B3,92,26.15,65.51,69.04,57.60,71.76
C2,803,24.25,59.90,61.39,55.48,65.63
C3,236,26.77,59.98,58.96,52.48,62.55
P,1,454,52.50,24.26,21.91,25.12
P,6,728,74.87,22.14,20.73,24.94
O,2,794,76.13,22.79,20.89,27.54
P,3,509,84.61,20.72,19.20,22.37
O,5,925,86.74,20.13,19.18,21.57
B2,428,279.47,48.32,49.42,48.48,50.04
B3,43,302.78,49.83,50.18,49.06,50.87
C2,438,262.91,44.55,46.94,45.41,48.58
C3,150,302.61,44.14,46.48,44.98,48.26
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,5,13.26,76.55,80.56,80.56,80.56
A1,100,15.49,95.97,98.08,91.44,100.06
A2,7627,20.99,99.20,101.07,98.06,103.47
A3,885,23.65,97.86,98.81,96.75,101.95
A4,99,24.99,88.21,89.14,85.89,97.65
A5,7,26.04,79.05,84.75,71.00,96.00
A6,9,23.94,77.29,73.21,70.35,76.04
