Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
A5,43,23.47,54.06,55.65,52.61,65.16
A6,47,23.58,52.26,52.67,51.14,60.44
AB2,113,21.27,59.84,64.10,57.67,68.74
AB3,45,22.60,60.34,65.87,57.68,72.56
B2,48,20.84,59.91,63.31,53.14,66.55
B3,18,24.21,54.59,61.38,56.05,63.48
C2,985,22.31,55.05,54.96,51.59,56.39
C3,114,25.30,51.09,53.29,50.00,56.91
A2,9168,253.69,43.87,44.31,35.00,47.50
A3,1119,273.05,44.00,44.35,42.00,47.50
AB2,452,250.27,42.26,41.36,36.00,47.50
AB3,56,280.40,42.18,41.52,37.95,43.50
B2,260,238.10,37.59,37.92,34.00,41.30
B3,55,267.74,37.55,38.20,34.00,40.15
C2,1447,247.69,37.03,37.18,32.94,38.92
C3,456,273.12,37.20,37.63,32.94,39.38
A0,189,18.53,44.74,49.47,53.20,65.00
A1,1217,14.81,62.21,62.52,54.00,67.00
A2,13397,18.33,64.12,64.81,55.63,72.99
A3,2298,19.77,64.04,64.48,62.75,72.63
A4,551,19.52,54.36,55.83,53.00,70.00
A5,135,20.60,50.38,49.91,47.00,61.77
A6,344,19.78,51.42,48.16,47.50,62.25
AB2,329,20.13,51.17,55.92,51.00,58.58
AB3,107,23.19,51.25,53.83,50.00,58.58
B2,173,22.37,48.88,50.37,46.34,54.63
B3,43,23.95,48.50,49.79,48.00,52.69
C2,1812,22.20,46.47,47.32,35.33,54.00
B2,255,268.92,38.74,39.81,37.90,42.22
B3,63,323.11,39.21,39.62,39.25,40.30
C2,990,260.70,38.24,39.92,37.20,41.54
C3,281,291.27,38.53,39.71,37.92,41.54
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,9,9.32,39.98,56.52,46.50,60.15
A1,180,13.30,60.71,67.52,63.91,68.70
A2,5824,20.57,67.80,70.64,66.71,73.24
A3,894,20.54,68.30,69.95,66.85,71.24
A4,102,19.88,57.57,62.59,62.21,63.63
A5,13,32.03,48.71,52.87,51.28,57.55
A6,25,19.26,47.60,52.37,52.37,52.37
AB2,38,19.10,56.26,60.85,56.00,64.02
AB3,3,22.63,60.15,63.85,62.16,68.00
B2,93,23.40,53.49,60.93,56.72,62.00
B3,7,22.47,49.58,55.36,54.00,55.87
C2,550,21.81,52.13,56.14,54.23,60.01
C3,130,23.16,51.56,55.66,54.32,59.35
A2,9456,261.57,39.33,39.28,31.46,42.15
A3,2902,273.75,39.06,39.49,38.00,42.15
AB2,471,262.52,37.50,37.04,28.34,42.15
AB3,144,286.36,36.32,35.82,28.34,39.10
B2,399,252.33,32.87,33.98,29.90,36.52
B3,82,278.74,32.58,32.99,29.50,36.22
C2,1257,248.08,28.24,30.14,28.00,34.50
C3,357,280.27,28.35,30.17,28.00,34.50
A0,130,13.63,45.27,43.95,32.00,47.51
A1,816,15.45,55.37,54.54,37.00,61.50
A2,11350,19.58,53.09,57.54,55.30,68.00
A3,1782,21.56,55.64,57.40,55.22,66.77
A4,254,23.18,49.71,52.82,47.56,62.51
A5,32,24.60,46.95,48.49,39.48,62.50
A6,29,22.68,40.21,44.97,39.58,50.00
AB2,223,19.69,48.55,49.18,39.00,63.23
AB3,30,23.56,51.10,49.64,39.00,62.70
B2,270,22.40,47.64,44.72,38.00,47.00
B3,28,24.51,46.22,44.12,38.00,47.00
C2,1182,22.04,39.03,39.18,36.00,45.73
C3,310,25.65,40.38,40.25,35.00,45.00
B2,472,256.62,43.22,43.99,42.67,45.12
B3,113,283.95,42.83,43.91,42.96,44.86
C2,843,253.38,40.87,41.48,39.30,43.19
C3,352,276.69,41.08,41.29,39.35,43.25
A0,52,13.07,48.86,49.13,45.80,62.20
A1,249,15.29,65.00,65.06,59.18,72.12
A4,224,25.94,62.76,63.97,61.98,68.96
A5,38,27.07,57.80,59.34,52.79,69.56
A6,24,24.73,55.24,54.66,51.15,65.63
AB2,160,19.57,60.48,63.26,60.35,66.21
AB3,19,23.83,58.65,63.41,58.34,69.37
B2,120,22.92,58.33,60.21,53.58,61.95
B3,34,24.20,53.86,52.29,52.00,53.50
C2,960,23.82,51.67,55.60,51.76,59.16
C3,234,26.55,49.52,49.89,46.17,55.43
P,1,336,52.70,25.31,20.80,27.08
P,1,153,61.48,22.59,20.92,24.92
P,6,026,74.81,22.62,19.91,25.69
O,2,003,76.40,23.07,20.03,26.71
P,3,531,85.97,22.49,19.26,26.39
O,3,714,87.69,22.79,19.38,26.38
A2,8429,255.38,42.96,44.08,32.21,47.50
A3,880,281.50,43.11,44.40,42.81,47.50
AB2,608,255.15,41.10,42.60,34.28,47.99
AB3,66,287.26,41.57,43.29,39.18,47.99
B2,367,228.13,37.40,38.18,34.00,47.50
B3,45,261.59,37.17,38.68,36.00,41.80
C2,1409,242.31,36.41,36.88,33.00,39.00
C3,435,269.14,36.66,37.81,33.00,39.00
A0,121,14.42,51.01,52.45,38.89,57.75
A1,760,16.41,61.63,62.38,54.00,66.00
A2,9004,19.73,64.62,64.92,60.00,72.69
A3,1388,20.88,64.45,63.23,57.70,72.99
A4,254,21.13,55.37,57.85,53.00,68.00
A5,63,21.73,51.59,52.60,47.89,66.00
A6,55,21.68,47.73,49.68,48.29,66.00
AB2,113,19.28,52.44,54.69,53.00,66.83
AB3,11,18.77,52.49,55.36,54.07,59.38
B2,86,21.36,47.53,49.70,38.00,54.00
B3,25,25.66,47.23,48.43,38.00,51.09
C2,835,23.66,46.18,47.15,43.00,54.00
B2,127,247.52,37.90,40.41,37.17,42.50
B3,24,278.67,38.02,40.84,37.90,42.50
C2,829,255.10,38.22,40.30,37.51,42.50
C3,321,279.24,38.37,40.05,37.66,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,61,14.52,50.22,59.43,59.23,60.01
A1,190,15.62,60.91,65.31,64.23,67.85
A2,6116,20.66,65.64,69.67,65.69,72.79
A3,842,21.51,65.52,69.73,65.27,71.06
A4,106,20.18,53.27,60.36,53.99,62.45
A5,15,19.93,45.96,55.00,50.23,57.97
A6,41,19.33,45.74,53.66,52.37,54.43
AB2,36,23.17,57.79,61.53,59.46,65.82
AB3,6,25.78,58.49,60.26,60.00,60.33
B2,126,23.02,55.26,61.07,57.82,62.04
B3,10,28.47,51.42,57.40,55.93,58.88
C2,1310,23.74,52.58,54.66,52.80,59.11
C3,240,28.18,52.91,56.74,53.17,62.00
A2,11914,256.17,44.29,45.19,41.23,46.90
A3,1471,280.30,44.41,45.99,44.80,46.94
AB2,876,251.84,42.46,44.12,39.85,46.18
AB3,127,287.02,41.51,43.82,38.87,45.40
B2,547,249.21,38.37,39.03,36.58,40.69
B3,123,288.26,37.09,37.92,37.90,42.08
C2,2105,244.75,36.74,37.05,34.70,39.61
C3,711,275.82,36.83,37.13,35.22,40.00
A0,241,14.23,51.60,51.57,39.12,58.00
A1,1634,15.77,63.01,63.21,58.14,66.00
A2,13045,19.65,65.39,65.46,63.74,67.79
A3,1973,21.04,65.31,64.94,63.23,67.77
A4,359,20.90,56.42,58.66,57.41,62.46
A5,65,20.67,51.13,50.79,47.94,56.12
A6,104,19.53,50.16,51.06,48.45,57.14
AB2,223,22.70,55.37,56.94,54.22,60.28
AB3,80,25.47,54.02,55.70,52.21,59.92
B2,189,26.30,45.42,49.00,47.94,51.00
B3,52,27.30,46.05,48.36,45.50,51.25
C2,2053,46.69,47.28,46.96,43.55,49.77
C3,619,25.73,46.37,46.63,45.00,49.40
HO,3,021,87.32,26.54,24.73,28.12
B2,266,259.56,40.88,43.95,41.18,46.39
B3,84,293.06,41.96,43.46,39.36,45.53
C2,600,255.78,40.96,42.12,39.88,43.30
C3,411,279.91,41.19,42.56,40.65,43.45
A0,32,15.75,54.62,59.18,30.77,63.99
A1,149,16.23,67.58,66.46,64.00,72.12
A2,6215,21.37,70.41,70.95,69.45,73.03
A3,1775,23.22,71.36,70.69,70.19,72.09
A4,263,23.83,62.37,63.26,62.06,67.93
A5,33,23.33,52.74,55.50,53.07,60.00
A6,38,23.38,54.47,55.28,51.18,56.63
AB2,35,20.97,58.43,60.81,57.00,66.34
AB3,1,23.70,55.00,53.00,53.00,53.00
B2,18,24.95,51.01,51.22,49.00,54.68
B3,6,26.40,51.17,49.00,49.00,49.00
C2,268,22.06,50.01,54.11,51.94,55.31
C3,65,24.93,51.10,54.07,51.20,56.50
A2,11875,265.26,39.38,39.57,38.47,42.15
A3,1737,274.46,38.37,39.51,37.98,42.15
AB2,647,266.91,36.51,38.19,30.00,42.15
AB3,122,286.71,35.98,37.81,30.00,41.19
B2,502,250.78,32.14,33.55,26.00,38.00
B3,88,295.45,32.73,34.16,27.50,38.40
C2,1717,250.64,28.58,29.48,28.00,34.50
C3,477,279.87,28.94,29.69,27.00,34.50
A0,81,12.27,43.32,43.43,33.95,50.00
A1,931,14.02,55.49,55.33,43.00,59.00
A2,14688,19.68,57.16,57.49,55.36,63.81
A3,3011,21.44,57.34,57.90,55.28,68.00
A4,432,21.41,48.09,49.38,46.00,62.00
A5,67,22.15,41.97,43.13,39.48,62.50
A6,95,21.29,40.48,42.07,38.00,57.00
AB2,185,21.35,50.81,51.39,42.00,64.00
AB3,25,22.07,48.40,49.72,42.00,64.00
B2,232,22.41,41.09,42.57,39.50,54.54
B3,47,25.42,39.32,41.26,39.50,53.00
C2,1405,22.22,38.13,38.92,36.99,47.00
C3,468,24.35,38.01,39.28,37.00,43.41
B2,317,275.48,39.30,41.28,38.89,43.61
B3,95,310.96,39.73,41.36,40.28,43.50
C2,1091,260.30,38.16,40.38,37.53,43.00
C3,411,287.76,38.31,40.98,38.00,43.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,15,12.73,52.01,57.82,47.57,60.31
A1,311,13.91,62.27,66.57,62.04,68.64
A2,7809,20.86,66.51,69.13,65.58,71.11
A3,1091,22.19,66.70,69.62,65.75,70.71
A4,156,21.76,54.28,57.65,47.49,63.72
A5,18,21.69,50.29,53.15,47.65,65.14
A6,66,22.18,46.31,44.53,44.11,46.72
AB2,18,20.90,62.90,66.25,60.86,69.15
AB3,6,27.49,64.53,66.69,60.00,69.00
B2,54,19.92,53.27,60.28,56.29,62.00
