0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A2,7841,269.82,48.52,48.57,47.33,49.77,Hide,Feedlot,11.95,,,,,,,,,,,,,,,
A3,854,285.79,48.57,49.29,47.46,51.05,Veldt,12.20,,,,,,,,,,,,,,,,
AB2,644,274.11,47.37,47.30,45.36,48.13,Dorper,ea,38.33,,,,,,,,,,,,,,,
AB3,101,306.61,47.41,47.31,45.08,48.23,Merino,ea,87.00,,,,,,,,,,,,,,,
B2,395,270.06,44.65,46.05,43.39,47.31,,,,,,,,,,,,,,,,,,
B3,69,314.97,44.49,45.24,43.85,47.33,,,,,,,,,,,,,,,,,,
C2,673,259.04,42.95,43.20,41.53,46.00,,,,,,,,,,,,,,,,,,
C3,224,294.11,43.35,44.08,41.63,46.00,,,,,,,,,,,,,,,,,,
10,801,,,,,,,,,,,,,,,,,,,,,,,
A0,67,14.89,73.75,77.40,61.31,81.00,,,,,,,,,,,,,,,,,,
A1,844,17.08,79.12,81.72,79.64,82.30,,,,,,,,,,,,,,,,,,
A2,6256,21.33,81.13,75.85,70.95,85.44,,,,,,,,,,,,,,,,,,
A3,1686,23.42,81.22,75.47,70.50,85.00,,,,,,,,,,,,,,,,,,
A4,261,24.65,72.51,67.45,61.82,80.76,,,,,,,,,,,,,,,,,,
A5,35,24.34,68.93,65.69,52.80,79.21,,,,,,,,,,,,,,,,,,
A6,49,23.11,65.64,63.67,51.13,76.30,,,,,,,,,,,,,,,,,,
AB2,62,23.68,76.89,76.49,63.08,82.44,,,,,,,,,,,,,,,,,,
AB3,35,23.47,71.02,73.20,64.94,82.53,,,,,,,,,,,,,,,,,,
B2,43,23.60,63.10,64.54,63.89,66.71,,,,,,,,,,,,,,,,,,
B3,821,23.74,53.56,59.44,59.40,59.60,,,,,,,,,,,,,,,,,,
C2,217,24.02,60.31,62.12,53.29,66.30,,,,,,,,,,,,,,,,,,
C3,60,24.87,60.32,60.09,58.00,64.00,,,,,,,,,,,,,,,,,,
10,436,,,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_maxMin,,,,,,,,,,,,,,,,,,,,
P,1741,51.42,31.59,29.81,33.56,,,,,,,,,,,,,,,,,,,
O,169,47.21,31.06,28.10,32.02,,,,,,,,,,,,,,,,,,,
R,25,41.90,30.25,28.93,31.00,,,,,,,,,,,,,,,,,,,
C,6,42.40,30.17,30.00,30.50,,,,,,,,,,,,,,,,,,,
U,1,43.70,29.50,29.50,29.50,,,,,,,,,,,,,,,,,,,
S,5,40.80,19.50,19.50,19.50,,,,,,,,,,,,,,,,,,,
P,787,60.95,31.48,29.27,33.48,,,,,,,,,,,,,,,,,,,
O,75,61.25,31.27,28.80,33.48,,,,,,,,,,,,,,,,,,,
R,9,62.27,29.65,27.66,31.45,,,,,,,,,,,,,,,,,,,
C,1,56.20,22.00,22.00,22.00,,,,,,,,,,,,,,,,,,,
P,6261,73.95,29.54,27.46,32.16,,,,,,,,,,,,,,,,,,,
O,1977,76.11,29.23,26.79,32.18,,,,,,,,,,,,,,,,,,,
R,212,78.26,26.34,18.79,30.65,,,,,,,,,,,,,,,,,,,
C,15,75.83,24.11,22.27,29.33,,,,,,,,,,,,,,,,,,,
U,3,78.50,29.50,29.50,29.50,,,,,,,,,,,,,,,,,,,
S,6,73.26,23.73,21.50,28.97,,,,,,,,,,,,,,,,,,,
P,2934,86.81,27.87,26.99,29.76,,,,,,,,,,,,,,,,,,,
O,3929,88.49,27.73,27.11,29.33,,,,,,,,,,,,,,,,,,,
R,750,89.53,26.32,24.87,28.27,,,,,,,,,,,,,,,,,,,
C,96,88.64,22.01,19.43,23.98,,,,,,,,,,,,,,,,,,,
U,7,90.15,21.06,21.06,21.06,,,,,,,,,,,,,,,,,,,
S,6,98.10,24.52,21.50,27.33,,,,,,,,,,,,,,,,,,,
915,127.33,22.60,18.71,25.72,,,,,,,,,,,,,,,,,,,,
19,930,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
